embedding_model,fusion_method,repeat,fold,source,layer,inner_fold,C,mean_inner_roc_auc,selected,level,model_name
model_1_all_mpnet_base_v2,late_fusion,1,3,P,source,2.0,10.0,0.7291472144413321,False,,
model_1_all_mpnet_base_v2,late_fusion,1,3,P,source,3.0,0.01,0.7515561780267662,True,,
model_1_all_mpnet_base_v2,late_fusion,1,3,P,source,3.0,0.1,0.7515561780267662,False,,
model_1_all_mpnet_base_v2,late_fusion,1,3,P,source,3.0,1.0,0.7465958605664488,False,,
model_1_all_mpnet_base_v2,late_fusion,1,3,P,source,3.0,10.0,0.7172230003112355,False,,
model_1_all_mpnet_base_v2,late_fusion,1,3,P,source_outer_full,0.0,1.0,0.8060088060088061,True,,
model_1_all_mpnet_base_v2,late_fusion,1,3,I,source,1.0,0.01,0.772875816993464,False,,
model_1_all_mpnet_base_v2,late_fusion,1,3,I,source,1.0,0.1,0.772875816993464,False,,
model_1_all_mpnet_base_v2,late_fusion,1,3,I,source,1.0,1.0,0.7705610021786492,False,,
model_1_all_mpnet_base_v2,late_fusion,1,3,I,source,1.0,10.0,0.7822712418300654,True,,
model_1_all_mpnet_base_v2,late_fusion,1,3,I,source,2.0,0.01,0.6933356676003735,False,,
model_1_all_mpnet_base_v2,late_fusion,1,3,I,source,2.0,0.1,0.6933356676003735,False,,
model_1_all_mpnet_base_v2,late_fusion,1,3,I,source,2.0,1.0,0.6957866479925303,False,,
model_1_all_mpnet_base_v2,late_fusion,1,3,I,source,2.0,10.0,0.6992296918767508,True,,
model_1_all_mpnet_base_v2,late_fusion,1,3,I,source,3.0,0.01,0.7328042328042329,False,,
model_1_all_mpnet_base_v2,late_fusion,1,3,I,source,3.0,0.1,0.7351190476190476,False,,
model_1_all_mpnet_base_v2,late_fusion,1,3,I,source,3.0,1.0,0.7377645502645502,False,,
model_1_all_mpnet_base_v2,late_fusion,1,3,I,source,3.0,10.0,0.7501945222533458,True,,
model_1_all_mpnet_base_v2,late_fusion,1,3,I,source_outer_full,0.0,0.01,0.6883903133903134,True,,
model_1_all_mpnet_base_v2,late_fusion,1,3,second_layer,,,0.01,0.7424458257791592,True,L1,base
model_1_all_mpnet_base_v2,late_fusion,1,3,second_layer,,,0.1,0.7424458257791592,False,L1,base
