embedding,fusion,repeat,level,base_auc,augmented_auc,delta_auc,base_pr_auc,augmented_pr_auc,delta_pr_auc,base_brier,augmented_brier,delta_brier,base_log_loss,augmented_log_loss,delta_log_loss,n
model_1_all_mpnet_base_v2,early_concat,2,L1,0.6868686868686869,0.7392529950669484,0.052384308198261564,0.5306386195999275,0.5581590448117013,0.02752042521177378,0.23611556953976326,0.24791631352105215,-0.011800743981288886,0.6647902998497981,0.6889768323188511,-0.024186532469053,142
model_1_all_mpnet_base_v2,early_concat,2,L2,0.6614987080103358,0.685224336387127,0.023725628376791152,0.5820061888192598,0.5888453298196904,0.006839141000430593,0.21698691925402072,0.21004361171933314,0.006943307534687582,0.6332577209563677,0.6262010508111613,0.00705667014520639,142
model_1_all_mpnet_base_v2,early_concat,2,L3,0.8005637773079634,0.7568710359408033,-0.04369274136716006,0.6628965699279552,0.6183455531236661,-0.04455101680428908,0.2011130510428853,0.2036684116383655,-0.0025553605954801994,0.5910120548321198,0.6103818295649582,-0.019369774732838407,142
model_1_all_mpnet_base_v2,early_concat,2,L4,0.789758045571999,0.790932581630256,0.0011745360582570141,0.6883542929142064,0.6898408374740231,0.0014865445598167826,0.1986753315506702,0.1975727699817648,0.001102561568905397,0.5846625701655869,0.5823390495765947,0.0023235205889922117,142
model_1_all_mpnet_base_v2,early_concat,3,L1,0.738313366220343,0.8071411792342025,0.06882781301385943,0.6205428739147107,0.6869626696314785,0.0664197957167677,0.22031898523586652,0.236193418912461,-0.015874433676594496,0.6371183447820378,0.6652858979183518,-0.028167553136314027,142
model_1_all_mpnet_base_v2,early_concat,3,L2,0.7089499647639184,0.7533474277660324,0.044397463002114,0.5835235714907894,0.6482334164020628,0.0647098449112734,0.20107562683581756,0.18657626973531335,0.014499357100504207,0.5955371514132759,0.566773474139485,0.028763677273790922,142
model_1_all_mpnet_base_v2,early_concat,3,L3,0.7998590556730091,0.8005637773079634,0.0007047216349542751,0.664600711815126,0.6543441313242172,-0.010256580490908829,0.18986897096375252,0.1899968255214345,-0.00012785455768196674,0.5643004520883406,0.5653795713585592,-0.0010791192702186425,142
model_1_all_mpnet_base_v2,early_concat,3,L4,0.8015034061545689,0.8010335917312661,-0.00046981442330285006,0.7019709176353996,0.7015785573651463,-0.00039236027025335574,0.1823594447576673,0.18145028979886066,0.0009091549588066405,0.5432877341726734,0.5413724115299353,0.001915322642738082,142
model_1_all_mpnet_base_v2,early_concat,4,L1,0.7460653042048391,0.7845900869156682,0.03852478271082915,0.6163400240070154,0.6610139356982851,0.044673911691269774,0.2221912316744945,0.2387927949542594,-0.01660156327976489,0.6331265195789378,0.6702572472582022,-0.0371307276792644,142
model_1_all_mpnet_base_v2,early_concat,4,L2,0.703547098895936,0.7167019027484143,0.013154803852478247,0.5753100969385941,0.607584624362696,0.03227452742410186,0.20550708311881966,0.19789915948988712,0.007607923628932534,0.606531943346809,0.5926960440007794,0.01383589934602969,142
model_1_all_mpnet_base_v2,early_concat,4,L3,0.817477096546864,0.7824759220108057,-0.03500117453605822,0.7107364706912878,0.6585509026548564,-0.05218556803643137,0.20669928845072416,0.2043551278471254,0.002344160603598766,0.6039611206572105,0.5994261075305054,0.004535013126705123,142
model_1_all_mpnet_base_v2,early_concat,4,L4,0.8106647874089735,0.8111346018322761,0.000469814423302628,0.7059455063005811,0.7061165049325919,0.00017099863201086585,0.20009543483102446,0.19899209914880464,0.0011033356822198193,0.5890856593230437,0.5868115486812993,0.0022741106417444312,142
model_1_all_mpnet_base_v2,early_concat,5,L1,0.7047216349541932,0.7695560253699789,0.06483439041578576,0.540092528639162,0.615409406436048,0.075316877796886,0.2222355980573103,0.2295728068322076,-0.007337208774897297,0.6330347172624122,0.6514632553490449,-0.018428538086632695,142
model_1_all_mpnet_base_v2,early_concat,5,L2,0.6636128729151984,0.7089499647639184,0.045337091848719924,0.49693346023538815,0.5760344090795768,0.07910094884418867,0.22316939092802257,0.2022919091422538,0.02087748178576876,0.6476202548274045,0.6047124207912068,0.04290783403619769,142
model_1_all_mpnet_base_v2,early_concat,5,L3,0.8005637773079632,0.7726098191214471,-0.027953958186516137,0.6785598447546166,0.6569648453970365,-0.021594999357580136,0.19155430503249218,0.19408965193204708,-0.0025353468995548967,0.5685025048708596,0.5729988389513692,-0.004496334080509534,142
model_1_all_mpnet_base_v2,early_concat,5,L4,0.7977448907681466,0.7977448907681466,0.0,0.7152191259348778,0.714961159530182,-0.00025796640469577525,0.1939180085653287,0.19291756921682815,0.0010004393485005536,0.5744365156288093,0.572394157607629,0.002042358021180246,142
model_1_all_mpnet_base_v2,early_concat,6,L1,0.7307963354474983,0.757810664787409,0.02701432933991066,0.5723428955328009,0.6257911199137375,0.05344822438093655,0.24250674894799915,0.22633349930105734,0.016173249646941806,0.6780601720503133,0.6455946768670444,0.03246549518326891,142
model_1_all_mpnet_base_v2,early_concat,6,L2,0.7131782945736435,0.7315010570824524,0.018322762508808932,0.6070264332230273,0.6270310057346156,0.02000457251158827,0.2028772660285546,0.19617157521377954,0.006705690814775067,0.5991229647632366,0.5861743538116317,0.012948610951604822,142
model_1_all_mpnet_base_v2,early_concat,6,L3,0.7874089734554851,0.7911674888419075,0.0037585153864223564,0.689228017954642,0.6942900075422054,0.005061989587563431,0.19120891334593715,0.18982875385107026,0.0013801594948668894,0.5667562712445174,0.5637897780583221,0.0029664931861953514,142
model_1_all_mpnet_base_v2,early_concat,6,L4,0.7935165609584214,0.7944561898050271,0.0009396288466057001,0.6685180421312725,0.6690332714678224,0.000515229336549905,0.19019639443016875,0.18909433033116407,0.0011020640990046793,0.5627288528842941,0.5602916696646386,0.00243718321965547,142
model_1_all_mpnet_base_v2,early_concat,7,L1,0.7091848719755696,0.796805261921541,0.08762038994597143,0.5759112021311472,0.6670588237888411,0.09114762165769386,0.23040537142826673,0.2472744049113038,-0.016869033483037088,0.655276552243546,0.6876895683380237,-0.032413016094477776,142
model_1_all_mpnet_base_v2,early_concat,7,L2,0.6993187690862109,0.7448907681465821,0.04557199906037113,0.6007337673453703,0.6593796951727372,0.058645927827366884,0.20540705815271554,0.187709436566045,0.017697621586670542,0.6047593797849552,0.57351460317725,0.031244776607705194,142
