representation,repeat,draw,domain_type,base_roc_auc,enhanced_roc_auc,base_pr_auc,enhanced_pr_auc,base_brier,enhanced_brier,base_log_loss,enhanced_log_loss,delta_auc,delta_pr_auc,delta_brier,delta_log_loss,interpretation_scope
tfidf,1,31,fake,0.9154334038054969,0.9180173831336622,0.8350298197877594,0.8297179955685507,0.11826139487405746,0.12526088475117617,0.37556320907643054,0.3946004516412908,0.0025839793281653423,-0.005311824219208616,-0.006999489877118709,-0.01903724256486028,targeted_post_result_sensitivity_real_D_vs_label_stratified_fake_D
tfidf,1,32,fake,0.9097956307258632,0.9015738783180643,0.8274220061246252,0.8087152454988127,0.1281866740232625,0.13171439029988002,0.3888863237119986,0.404164397020832,-0.008221752407798877,-0.018706760625812557,-0.0035277162766175207,-0.015278073308833406,targeted_post_result_sensitivity_real_D_vs_label_stratified_fake_D
tfidf,1,33,fake,0.9163730326521023,0.9224806201550387,0.8483653272013837,0.8311882873116471,0.13039569402582543,0.13136702601628308,0.4174892842404587,0.4110777167728038,0.006107587502936385,-0.017177039889736623,-0.0009713319904576523,0.006411567467654922,targeted_post_result_sensitivity_real_D_vs_label_stratified_fake_D
tfidf,1,34,fake,0.9173126614987079,0.9191919191919192,0.7892933218843154,0.8059364612783991,0.1311843204455593,0.12571680585940112,0.4451720286485157,0.40201224405655633,0.0018792576932112892,0.016643139394083684,0.005467514586158184,0.04315978459195935,targeted_post_result_sensitivity_real_D_vs_label_stratified_fake_D
tfidf,1,35,fake,0.8738548273431994,0.9081512802443035,0.7743564695423679,0.8122806049666177,0.15064741269174514,0.13103563625047018,0.48233588702228336,0.4040187004875608,0.03429645290110406,0.03792413542424977,0.01961177644127496,0.07831718653472258,targeted_post_result_sensitivity_real_D_vs_label_stratified_fake_D
tfidf,1,36,fake,0.9206013624618276,0.9135541461122856,0.8126496207653042,0.79552171658599,0.12161553590860255,0.1322377108873242,0.39225000446689834,0.42347924522307046,-0.007047216349541974,-0.0171279041793142,-0.010622174978721644,-0.031229240756172116,targeted_post_result_sensitivity_real_D_vs_label_stratified_fake_D
tfidf,1,37,fake,0.8947615691801738,0.8863049095607235,0.7654462744867594,0.7519226887052729,0.14999860770225534,0.14894269876104324,0.4601870124498318,0.4704176581997529,-0.008456659619450302,-0.013523585781486491,0.0010559089412121025,-0.010230645749921108,targeted_post_result_sensitivity_real_D_vs_label_stratified_fake_D
tfidf,1,38,fake,0.8980502701432933,0.9177824759220108,0.7747131543333902,0.7921356934230138,0.13560556963397846,0.12777742497058367,0.42729543028076455,0.41055020466571446,0.019732205778717482,0.017422539089623656,0.007828144663394793,0.016745225615050097,targeted_post_result_sensitivity_real_D_vs_label_stratified_fake_D
tfidf,1,39,fake,0.9332863518910031,0.9116748884190745,0.8580755593292988,0.8338889938289736,0.1183192070154334,0.13893693840690927,0.3723983261079328,0.42409865822618975,-0.02161146347192855,-0.024186565500325163,-0.020617731391475866,-0.051700332118256975,targeted_post_result_sensitivity_real_D_vs_label_stratified_fake_D
tfidf,1,40,fake,0.9109701667841203,0.9140239605355884,0.8287889012227757,0.8225320269667566,0.13751088888486876,0.13164056958168738,0.41905634864401575,0.4136284446713316,0.0030537937514680813,-0.006256874256019063,0.005870319303181382,0.005427903972684167,targeted_post_result_sensitivity_real_D_vs_label_stratified_fake_D
tfidf,1,41,fake,0.9184871975569651,0.918487197556965,0.8286256447750815,0.8198648038208532,0.1352128907218782,0.13367798436876008,0.41494554029767045,0.41527875321410085,-1.1102230246251565e-16,-0.008760840954228244,0.0015349063531181206,-0.0003332129164304032,targeted_post_result_sensitivity_real_D_vs_label_stratified_fake_D
tfidf,1,42,fake,0.9095607235142119,0.9046276720695325,0.8155512415229289,0.8192904773046413,0.13053815134798372,0.14014787258834635,0.4169087496396727,0.42910945093508057,-0.0049330514446793705,0.0037392357817124244,-0.009609721240362634,-0.012200701295407845,targeted_post_result_sensitivity_real_D_vs_label_stratified_fake_D
tfidf,1,43,fake,0.9116748884190745,0.8964059196617336,0.799077543571149,0.7944496006074259,0.13341518869427274,0.14548358735904326,0.4188126259589655,0.4398920415233806,-0.015268968757340962,-0.004627942963723153,-0.012068398664770524,-0.02107941556441506,targeted_post_result_sensitivity_real_D_vs_label_stratified_fake_D
tfidf,1,44,fake,0.9144937749588912,0.9215409913084333,0.8415508099134202,0.832865863459461,0.12308108439593851,0.13089874733376491,0.3935448089122066,0.4106546709829835,0.007047216349542085,-0.00868494645395923,-0.007817662937826403,-0.017109862070776916,targeted_post_result_sensitivity_real_D_vs_label_stratified_fake_D
tfidf,1,45,fake,0.9241249706365986,0.9159032182287996,0.8364936439590356,0.8083886480643321,0.12594974350364765,0.13433653287798963,0.39984960986148765,0.42579494041505817,-0.008221752407798988,-0.0281049958947035,-0.00838678937434198,-0.02594533055357051,targeted_post_result_sensitivity_real_D_vs_label_stratified_fake_D
tfidf,1,46,fake,0.9130843316889827,0.9083861874559549,0.8208644312989987,0.8075397259696504,0.12879637563870816,0.13201780673815938,0.39645153002163397,0.4075038092320078,-0.0046981442330278345,-0.013324705329348263,-0.003221431099451222,-0.011052279210373828,targeted_post_result_sensitivity_real_D_vs_label_stratified_fake_D
