evaluation,model,model_short,input_condition,condition_label,fold,outer_folds,inner_folds,threshold_metric,threshold,train_or_oracle_metric_at_threshold,train_rows,test_rows,class_weight,n,positive_n,negative_n,accuracy,precision,recall,sensitivity,specificity,f1,macro_f1,auc,mcc,tn,fp,fn,tp
nested_threshold,tfidf_linear_svm,TF-IDF + SVM,full_dialogue,C1 Full dialogue,5,5,4,mcc,-0.31440106749502134,0.4023423075714563,152,37,balanced,37,8,29,0.7297297297297297,0.42857142857142855,0.75,0.75,0.7241379310344828,0.5454545454545454,0.6765734265734266,0.896551724137931,0.40245817812041473,21,8,2,6
oracle_test_threshold,tfidf_linear_svm,TF-IDF + SVM,full_dialogue,C1 Full dialogue,5,5,,mcc,-0.1950659044944352,0.6810344827586207,152,37,balanced,37,8,29,0.8918918918918919,0.75,0.75,0.75,0.9310344827586207,0.75,0.8405172413793103,0.896551724137931,0.6810344827586207,27,2,2,6
nested_threshold,tfidf_logistic_regression,TF-IDF + LR,participant_only,C2 Participant-only,1,5,4,mcc,0.42684631322158795,0.40160052889954784,151,38,balanced,38,8,30,0.631578947368421,0.2857142857142857,0.5,0.5,0.6666666666666666,0.36363636363636365,0.5521885521885521,0.6125,0.14085904245475275,20,10,4,4
oracle_test_threshold,tfidf_logistic_regression,TF-IDF + LR,participant_only,C2 Participant-only,1,5,,mcc,0.4472947093345725,0.32756920994133026,151,38,balanced,38,8,30,0.8157894736842105,0.6666666666666666,0.25,0.25,0.9666666666666667,0.36363636363636365,0.627972027972028,0.6125,0.32756920994133026,29,1,6,2
nested_threshold,tfidf_logistic_regression,TF-IDF + LR,participant_only,C2 Participant-only,2,5,4,mcc,0.45327204742883076,0.42482916388693026,151,38,balanced,38,8,30,0.7631578947368421,0.4,0.25,0.25,0.9,0.3076923076923077,0.5824175824175823,0.6375,0.18090680674665818,27,3,6,2
oracle_test_threshold,tfidf_logistic_regression,TF-IDF + LR,participant_only,C2 Participant-only,2,5,,mcc,0.4673474253872559,0.45643546458763845,151,38,balanced,38,8,30,0.8421052631578947,1.0,0.25,0.25,1.0,0.4,0.6545454545454545,0.6375,0.45643546458763845,30,0,6,2
nested_threshold,tfidf_logistic_regression,TF-IDF + LR,participant_only,C2 Participant-only,3,5,4,mcc,0.4645807541641799,0.38465878703747436,151,38,balanced,38,9,29,0.8157894736842105,0.75,0.3333333333333333,0.3333333333333333,0.9655172413793104,0.46153846153846156,0.6752136752136753,0.8965517241379309,0.4140043409440133,28,1,6,3
oracle_test_threshold,tfidf_logistic_regression,TF-IDF + LR,participant_only,C2 Participant-only,3,5,,mcc,0.4505656461116432,0.6933201520991935,151,38,balanced,38,9,29,0.8947368421052632,0.8571428571428571,0.6666666666666666,0.6666666666666666,0.9655172413793104,0.75,0.8416666666666667,0.8965517241379309,0.6933201520991935,28,1,3,6
nested_threshold,tfidf_logistic_regression,TF-IDF + LR,participant_only,C2 Participant-only,4,5,4,mcc,0.44733485142272167,0.4275602200522256,151,38,balanced,38,9,29,0.7631578947368421,0.5,0.3333333333333333,0.3333333333333333,0.896551724137931,0.4,0.6262295081967213,0.7701149425287356,0.2680281337094487,26,3,6,3
oracle_test_threshold,tfidf_logistic_regression,TF-IDF + LR,participant_only,C2 Participant-only,4,5,,mcc,0.4423162132293807,0.5998159261138023,151,38,balanced,38,9,29,0.8421052631578947,0.6363636363636364,0.7777777777777778,0.7777777777777778,0.8620689655172413,0.7,0.7964285714285715,0.7701149425287356,0.5998159261138023,25,4,2,7
nested_threshold,tfidf_logistic_regression,TF-IDF + LR,participant_only,C2 Participant-only,5,5,4,mcc,0.4373403527095747,0.31006475287533813,152,37,balanced,37,8,29,0.7297297297297297,0.4375,0.875,0.875,0.6896551724137931,0.5833333333333334,0.6916666666666667,0.8232758620689655,0.46919963383140073,20,9,1,7
oracle_test_threshold,tfidf_logistic_regression,TF-IDF + LR,participant_only,C2 Participant-only,5,5,,mcc,0.44168268352901474,0.5378304743972815,152,37,balanced,37,8,29,0.7837837837837838,0.5,0.875,0.875,0.7586206896551724,0.6363636363636364,0.7412587412587412,0.8232758620689655,0.5378304743972815,22,7,1,7
nested_threshold,tfidf_linear_svm,TF-IDF + SVM,participant_only,C2 Participant-only,1,5,4,mcc,-0.3695940016060745,0.4067106847464862,151,38,balanced,38,8,30,0.6578947368421053,0.2727272727272727,0.375,0.375,0.7333333333333333,0.3157894736842105,0.5438596491228069,0.6291666666666667,0.09738442457802386,22,8,5,3
oracle_test_threshold,tfidf_linear_svm,TF-IDF + SVM,participant_only,C2 Participant-only,1,5,,mcc,-0.2959038352816872,0.32756920994133026,151,38,balanced,38,8,30,0.8157894736842105,0.6666666666666666,0.25,0.25,0.9666666666666667,0.36363636363636365,0.627972027972028,0.6291666666666667,0.32756920994133026,29,1,6,2
nested_threshold,tfidf_linear_svm,TF-IDF + SVM,participant_only,C2 Participant-only,2,5,4,mcc,-0.3133929017847792,0.40710328967027665,151,38,balanced,38,8,30,0.7368421052631579,0.375,0.375,0.375,0.8333333333333334,0.375,0.6041666666666667,0.6375000000000001,0.20833333333333334,25,5,5,3
oracle_test_threshold,tfidf_linear_svm,TF-IDF + SVM,participant_only,C2 Participant-only,2,5,,mcc,-0.22285699533086376,0.32756920994133026,151,38,balanced,38,8,30,0.8157894736842105,0.6666666666666666,0.25,0.25,0.9666666666666667,0.36363636363636365,0.627972027972028,0.6375000000000001,0.32756920994133026,29,1,6,2
nested_threshold,tfidf_linear_svm,TF-IDF + SVM,participant_only,C2 Participant-only,3,5,4,mcc,-0.23033949691249306,0.38465878703747436,151,38,balanced,38,9,29,0.8157894736842105,0.75,0.3333333333333333,0.3333333333333333,0.9655172413793104,0.46153846153846156,0.6752136752136753,0.896551724137931,0.4140043409440133,28,1,6,3
oracle_test_threshold,tfidf_linear_svm,TF-IDF + SVM,participant_only,C2 Participant-only,3,5,,mcc,-0.301318627756744,0.6933201520991935,151,38,balanced,38,9,29,0.8947368421052632,0.8571428571428571,0.6666666666666666,0.6666666666666666,0.9655172413793104,0.75,0.8416666666666667,0.896551724137931,0.6933201520991935,28,1,3,6
nested_threshold,tfidf_linear_svm,TF-IDF + SVM,participant_only,C2 Participant-only,4,5,4,mcc,-0.3036778573966048,0.42750846495121486,151,38,balanced,38,9,29,0.7894736842105263,0.5714285714285714,0.4444444444444444,0.4444444444444444,0.896551724137931,0.5,0.6833333333333333,0.7739463601532567,0.37397268810198925,26,3,5,4
oracle_test_threshold,tfidf_linear_svm,TF-IDF + SVM,participant_only,C2 Participant-only,4,5,,mcc,-0.34353780041537824,0.5998159261138023,151,38,balanced,38,9,29,0.8421052631578947,0.6363636363636364,0.7777777777777778,0.7777777777777778,0.8620689655172413,0.7,0.7964285714285715,0.7739463601532567,0.5998159261138023,25,4,2,7
