experiment,condition,draw_id,embedding_model,fusion_method,model_level,model_name,n,auc,pr_auc,brier,log_loss
pairing,structure_matched_random,14,model_1_all_mpnet_base_v2,late_fusion,L1,augmented,142,0.7037820061075875,0.5945207077680151,0.22049672432848885,0.6403793507378907
pairing,structure_matched_random,15,model_1_all_mpnet_base_v2,late_fusion,L1,augmented,142,0.7293868921775899,0.6069100278915418,0.22977989239726135,0.6587499271142516
pairing,structure_matched_random,16,model_1_all_mpnet_base_v2,late_fusion,L1,augmented,142,0.7007282123561194,0.5490236954859468,0.24081321548054901,0.6745940720371272
pairing,structure_matched_random,17,model_1_all_mpnet_base_v2,late_fusion,L1,augmented,142,0.6671364810899694,0.5639125495134893,0.22527546560731118,0.648681049656353
pairing,structure_matched_random,18,model_1_all_mpnet_base_v2,late_fusion,L1,augmented,142,0.7430115104533709,0.6285936443398493,0.22641464317846427,0.645742032711021
pairing,structure_matched_random,19,model_1_all_mpnet_base_v2,late_fusion,L1,augmented,142,0.650927883486023,0.525629761059058,0.23648448430927196,0.6665525759597519
pairing,structure_matched_random,20,model_1_all_mpnet_base_v2,late_fusion,L1,augmented,142,0.7019027484143763,0.5777857489987408,0.23154096649044664,0.6640014839471554
pairing,structure_matched_random,21,model_1_all_mpnet_base_v2,late_fusion,L1,augmented,142,0.718816067653277,0.5605344389554546,0.24203379891783353,0.6770395446672284
pairing,structure_matched_random,22,model_1_all_mpnet_base_v2,late_fusion,L1,augmented,142,0.750763448437867,0.5744501659171659,0.23782594041815325,0.6687909852072538
pairing,structure_matched_random,23,model_1_all_mpnet_base_v2,late_fusion,L1,augmented,142,0.7077754287056612,0.5785179334235964,0.23416850172669001,0.6718187321381143
pairing,structure_matched_random,24,model_1_all_mpnet_base_v2,late_fusion,L1,augmented,142,0.6354240075170309,0.5124572769318112,0.24107919499979727,0.6868949613506501
pairing,structure_matched_random,25,model_1_all_mpnet_base_v2,late_fusion,L1,augmented,142,0.7268029128494244,0.5976566647763022,0.23016467044494374,0.6614668120196049
pairing,structure_matched_random,26,model_1_all_mpnet_base_v2,late_fusion,L1,augmented,142,0.6882781301385952,0.5402402093469553,0.22712861334067735,0.6551858268178311
pairing,structure_matched_random,27,model_1_all_mpnet_base_v2,late_fusion,L1,augmented,142,0.7345548508339205,0.5805033338280738,0.23960974520864864,0.6721845110347489
pairing,structure_matched_random,28,model_1_all_mpnet_base_v2,late_fusion,L1,augmented,142,0.7073056142823586,0.6061586718022329,0.23280916459983828,0.6645998145510766
pairing,structure_matched_random,29,model_1_all_mpnet_base_v2,late_fusion,L1,augmented,142,0.711768851303735,0.5833146686099768,0.22921490531055966,0.6572342697906254
pairing,structure_matched_random,30,model_1_all_mpnet_base_v2,late_fusion,L1,augmented,142,0.7199906037115339,0.5597525538868569,0.22788617088949722,0.6566469166538608
pairing,structure_matched_random,31,model_1_all_mpnet_base_v2,late_fusion,L1,augmented,142,0.6521024195442799,0.5249326148756243,0.2357166913056223,0.6649957283292229
pairing,structure_matched_random,32,model_1_all_mpnet_base_v2,late_fusion,L1,augmented,142,0.7606295513272257,0.629485065617412,0.22847446253889725,0.6504235432977837
pairing,structure_matched_random,33,model_1_all_mpnet_base_v2,late_fusion,L1,augmented,142,0.696969696969697,0.5443587260193523,0.2410451099608194,0.6750524047077089
pairing,structure_matched_random,34,model_1_all_mpnet_base_v2,late_fusion,L1,augmented,142,0.7251585623678647,0.6073255736556218,0.23092752165843747,0.6607767497180919
pairing,structure_matched_random,35,model_1_all_mpnet_base_v2,late_fusion,L1,augmented,142,0.6920366455250175,0.5818201185773038,0.2266891293200987,0.645290164223953
pairing,structure_matched_random,36,model_1_all_mpnet_base_v2,late_fusion,L1,augmented,142,0.7061310782241015,0.5867501213860787,0.22953320888583,0.6596162396697994
pairing,structure_matched_random,37,model_1_all_mpnet_base_v2,late_fusion,L1,augmented,142,0.7608644585388771,0.6306349864396219,0.2253762037298497,0.6512795977553246
pairing,structure_matched_random,38,model_1_all_mpnet_base_v2,late_fusion,L1,augmented,142,0.7098895936105238,0.5842338444086599,0.22483862526173767,0.6525399182924257
pairing,structure_matched_random,39,model_1_all_mpnet_base_v2,late_fusion,L1,augmented,142,0.6979093258163025,0.5589410614587201,0.23391428026608327,0.6593522483430335
pairing,structure_matched_random,40,model_1_all_mpnet_base_v2,late_fusion,L1,augmented,142,0.6964998825463942,0.5884989631426899,0.22800310712572688,0.6555202858199973
pairing,structure_matched_random,41,model_1_all_mpnet_base_v2,late_fusion,L1,augmented,142,0.7211651397697909,0.5858011700482337,0.24078603402288584,0.6745790884681485
pairing,structure_matched_random,42,model_1_all_mpnet_base_v2,late_fusion,L1,augmented,142,0.7589852008456659,0.6003780193479352,0.23705753286765166,0.6670673254805662
pairing,structure_matched_random,43,model_1_all_mpnet_base_v2,late_fusion,L1,augmented,142,0.7383133662203429,0.5775069909538308,0.23999533046630656,0.6729555009957705
pairing,structure_matched_random,44,model_1_all_mpnet_base_v2,late_fusion,L1,augmented,142,0.6941508104298801,0.5675140142159029,0.22921884290774622,0.6559373853980295
pairing,structure_matched_random,45,model_1_all_mpnet_base_v2,late_fusion,L1,augmented,142,0.709419779187221,0.5943900716375079,0.22145162157454673,0.6407229638011085
pairing,structure_matched_random,46,model_1_all_mpnet_base_v2,late_fusion,L1,augmented,142,0.7526427061310782,0.6287751239792455,0.2273400157220194,0.654183413126397
pairing,structure_matched_random,47,model_1_all_mpnet_base_v2,late_fusion,L1,augmented,142,0.7218698614047451,0.5735947883791601,0.24051356897131562,0.6739916816881305
pairing,structure_matched_random,48,model_1_all_mpnet_base_v2,late_fusion,L1,augmented,142,0.754287056612638,0.5928743173700903,0.21289308954230876,0.6335285681782973
pairing,structure_matched_random,49,model_1_all_mpnet_base_v2,late_fusion,L1,augmented,142,0.7082452431289641,0.5677923485966709,0.23997654861971116,0.672931763176153
pairing,structure_matched_random,50,model_1_all_mpnet_base_v2,late_fusion,L1,augmented,142,0.7352595724688749,0.6137085919244311,0.23114643197385462,0.6602543398857651
pairing,random,1,model_2_bge_large_en_v1_5,early_concat,L1,augmented,142,0.6450552031947381,0.47352252584501864,0.2432445313779762,0.6795275219634783
pairing,random,2,model_2_bge_large_en_v1_5,early_concat,L1,augmented,142,0.7289170777542872,0.5172733109029473,0.22796026602010638,0.6470699108934421
