experiment,condition,draw_id,embedding_model,fusion_method,model_level,model_name,n,auc,pr_auc,brier,log_loss,domain_variant,base_auc,augmented_auc,delta_auc,base_pr_auc,augmented_pr_auc,delta_pr_auc,base_brier,augmented_brier,delta_brier,base_log_loss,augmented_log_loss,delta_log_loss
fake_d,fake_d,19,model_1_all_mpnet_base_v2,early_concat,L3,augmented,142.0,0.7733145407564013,0.589541225759532,0.17856527597410907,0.5579764282546612,Fake-D,,,,,,,,,,,,
fake_d,fake_d,19,model_1_all_mpnet_base_v2,early_concat,L3,base,142.0,0.7564012215175007,0.6177002853270717,0.18184104392026493,0.5478439632401145,Fake-D,,,,,,,,,,,,
fake_d,fake_d,19,model_1_all_mpnet_base_v2,early_concat,L3,,,,,,,Fake-D,0.7564012215175007,0.7733145407564013,0.016913319238900604,0.6177002853270717,0.589541225759532,-0.028159059567539613,0.18184104392026493,0.17856527597410907,0.003275767946155861,0.5478439632401145,0.5579764282546612,-0.010132465014546677
fake_d,fake_d,20,model_1_all_mpnet_base_v2,early_concat,L3,augmented,142.0,0.6875734085036411,0.5475899698772542,0.20567664700760901,0.6475312189342566,Fake-D,,,,,,,,,,,,
fake_d,fake_d,20,model_1_all_mpnet_base_v2,early_concat,L3,base,142.0,0.6605590791637304,0.5029803380269938,0.2179252312801459,0.6681159513302732,Fake-D,,,,,,,,,,,,
fake_d,fake_d,20,model_1_all_mpnet_base_v2,early_concat,L3,,,,,,,Fake-D,0.6605590791637304,0.6875734085036411,0.02701432933991077,0.5029803380269938,0.5475899698772542,0.044609631850260345,0.2179252312801459,0.20567664700760901,0.012248584272536889,0.6681159513302732,0.6475312189342566,0.02058473239601666
fake_d,fake_d,21,model_1_all_mpnet_base_v2,early_concat,L3,augmented,142.0,0.7813013859525487,0.6776183671573179,0.17343240917530867,0.5355763477744979,Fake-D,,,,,,,,,,,,
fake_d,fake_d,21,model_1_all_mpnet_base_v2,early_concat,L3,base,142.0,0.7601597369039229,0.6329315604790478,0.18327633806531912,0.5466825197200923,Fake-D,,,,,,,,,,,,
fake_d,fake_d,21,model_1_all_mpnet_base_v2,early_concat,L3,,,,,,,Fake-D,0.7601597369039229,0.7813013859525487,0.02114164904862581,0.6329315604790478,0.6776183671573179,0.044686806678270186,0.18327633806531912,0.17343240917530867,0.009843928890010456,0.5466825197200923,0.5355763477744979,0.011106171945594379
fake_d,fake_d,22,model_1_all_mpnet_base_v2,early_concat,L3,augmented,142.0,0.7470049330514447,0.5858206282478489,0.18777737239033362,0.5645541840095668,Fake-D,,,,,,,,,,,,
fake_d,fake_d,22,model_1_all_mpnet_base_v2,early_concat,L3,base,142.0,0.7369039229504346,0.5369225071232625,0.19426522524337086,0.5738577028730363,Fake-D,,,,,,,,,,,,
