embedding_model,repeat,condition,draw_id,model_level,fusion_method,n,auc,pr_auc,brier,log_loss
model_1_all_mpnet_base_v2,6,random,3,L1,early_concat,142,0.7232793046746536,0.5611346356237402,0.23045885919287296,0.6524318412878777
model_1_all_mpnet_base_v2,6,random,4,L1,early_concat,142,0.7202255109231853,0.5577773606687725,0.23937432464632424,0.6715228652337124
model_1_all_mpnet_base_v2,6,random,5,L1,early_concat,142,0.7228094902513507,0.6026631526528612,0.24698615875563135,0.6871162997376603
model_1_all_mpnet_base_v2,6,random,6,L1,early_concat,142,0.7237491190979564,0.5619267098827633,0.2356972505251342,0.665769608796872
model_1_all_mpnet_base_v2,6,random,7,L1,early_concat,142,0.7122386657270379,0.557497655862643,0.23972866854914504,0.6722223894558581
model_1_all_mpnet_base_v2,6,random,8,L1,early_concat,142,0.6967347897580456,0.5211362892501845,0.23101286164774018,0.6565955077885951
model_1_all_mpnet_base_v2,6,random,9,L1,early_concat,142,0.6812309137890533,0.5336178462196965,0.21091411827263234,0.6041643548287384
model_1_all_mpnet_base_v2,6,random,10,L1,early_concat,142,0.7735494479680527,0.6293046524219856,0.20779018896307236,0.6037246734630268
model_1_all_mpnet_base_v2,6,random,11,L1,early_concat,142,0.6972046041813483,0.5591211976392947,0.23127792473003023,0.6551135208346421
model_1_all_mpnet_base_v2,6,random,12,L1,early_concat,142,0.7171717171717171,0.5874622910768014,0.21566034224558053,0.6196559792828585
model_1_all_mpnet_base_v2,6,random,13,L1,early_concat,142,0.6988489546629081,0.5537377371015872,0.23176965562256918,0.6551042191999881
model_1_all_mpnet_base_v2,6,random,14,L1,early_concat,142,0.7702607470049331,0.6478529306672807,0.21762330946281883,0.6272224611960837
model_1_all_mpnet_base_v2,6,random,15,L1,early_concat,142,0.7237491190979564,0.5834572966120848,0.23785939534473205,0.6685148810091578
model_1_all_mpnet_base_v2,6,random,16,L1,early_concat,142,0.6957951609114399,0.5389163990747299,0.2395091945718007,0.6712837078638925
model_1_all_mpnet_base_v2,6,random,17,L1,early_concat,142,0.7404275311252057,0.6062904607995374,0.2187656318328987,0.632843093757867
model_1_all_mpnet_base_v2,6,random,18,L1,early_concat,142,0.7115339440920837,0.5533105849567526,0.22431753982242741,0.6403037551270174
model_1_all_mpnet_base_v2,6,random,19,L1,early_concat,142,0.7214000469814423,0.5561212184380077,0.239919405107811,0.6727004220977267
model_1_all_mpnet_base_v2,6,random,20,L1,early_concat,142,0.7237491190979561,0.5552515733342358,0.229092885599689,0.6587751979751315
model_1_all_mpnet_base_v2,6,random,21,L1,early_concat,142,0.699318769086211,0.5463227994878872,0.22380290400492292,0.6463542510379346
model_1_all_mpnet_base_v2,6,random,22,L1,early_concat,142,0.6910970166784121,0.5389137088587468,0.23352591315725024,0.6601101939568038
model_1_all_mpnet_base_v2,6,random,23,L1,early_concat,142,0.728917077754287,0.5724177132138376,0.2182736927461485,0.6291538774145966
model_1_all_mpnet_base_v2,6,random,24,L1,early_concat,142,0.6908621094667606,0.5417007266271548,0.23363684450717384,0.6598083901255093
