embedding_model,repeat,condition,draw_id,domain_variant,model_level,fusion_method,n,base_auc,augmented_auc,delta_auc,base_pr_auc,augmented_pr_auc,delta_pr_auc,base_brier,augmented_brier,delta_brier,base_log_loss,augmented_log_loss,delta_log_loss
model_1_all_mpnet_base_v2,1,fake_d,49,Fake-D,L3,early_concat,142,0.6894526661968523,0.7307963354474982,0.04134366925064592,0.4915916263310132,0.5401269869829606,0.04853536065194736,0.21143335001951333,0.19411944348552612,0.017313906533987206,0.6338868789213243,0.6031348281930414,0.03075205072828291
model_1_all_mpnet_base_v2,1,fake_d,50,Fake-D,L3,early_concat,142,0.7275076344843786,0.756636128729152,0.029128494244773373,0.654096088924278,0.6480764532182448,-0.006019635706033144,0.19583488518826977,0.18357658593961926,0.012258299248650517,0.5739054531209488,0.5634621233820994,0.010443329738849316
model_1_all_mpnet_base_v2,1,real,0,D-P,L3,early_concat,142,0.8047921071176884,0.7517030772844726,-0.05308902983321584,0.6814245815376129,0.6639454455841558,-0.01747913595345707,0.2011576065695262,0.1948480524693477,0.006309554100178499,0.590047783387383,0.5838689512467699,0.0061788321406131
model_1_all_mpnet_base_v2,2,fake_d,1,Fake-D,L3,early_concat,142,0.7451256753582335,0.7465351186281418,0.0014094432699083281,0.6241749793551709,0.6153145211270608,-0.008860458228110102,0.1878151978953468,0.18751577080432824,0.00029942709101857257,0.5616503018787361,0.5804101925969966,-0.018759890718260452
model_1_all_mpnet_base_v2,2,fake_d,2,Fake-D,L3,early_concat,142,0.6431759455015269,0.679821470519145,0.036645525017618086,0.4694669045289025,0.519032649902914,0.04956574537401148,0.22381191102222917,0.21490685664594678,0.00890505437628239,0.6576729590188575,0.6390636146333093,0.018609344385548177
model_1_all_mpnet_base_v2,2,fake_d,3,Fake-D,L3,early_concat,142,0.7268029128494244,0.7359642941038289,0.009161381254404466,0.5989220125629248,0.6326701073818592,0.03374809481893448,0.19588447582026125,0.19070862561697716,0.005175850203284094,0.5771169239580995,0.5786541692602437,-0.0015372453021441634
model_1_all_mpnet_base_v2,2,fake_d,4,Fake-D,L3,early_concat,142,0.6878083157152924,0.7019027484143762,0.014094432699083725,0.4912717888138613,0.508806922110146,0.0175351332962847,0.22375566884221873,0.22205369033528313,0.0017019785069355975,0.6525451926880361,0.6667475311586226,-0.014202338470586495
model_1_all_mpnet_base_v2,2,fake_d,5,Fake-D,L3,early_concat,142,0.7098895936105238,0.7420718816067654,0.032182287996241565,0.5874094165222723,0.6078586565574362,0.020449240035163907,0.20121549436323122,0.1850185893532944,0.016196905009936813,0.5955903927228737,0.5680802846380139,0.027510108084859874
model_1_all_mpnet_base_v2,2,fake_d,6,Fake-D,L3,early_concat,142,0.6814658210007046,0.6953253464881373,0.013859525487432633,0.5379939313965911,0.5640053892379903,0.026011457841399133,0.21872400437074188,0.2108667253025027,0.007857279068239187,0.7317945203583129,0.7233719046272988,0.008422615731014105
model_1_all_mpnet_base_v2,2,fake_d,7,Fake-D,L3,early_concat,142,0.7354944796805262,0.7455954897815362,0.010101010101010055,0.5737787959201435,0.600158031998751,0.026379236078607482,0.19285563960424795,0.18408398131011816,0.008771658294129792,0.5919342274811142,0.5752812364803974,0.01665299100071682
model_1_all_mpnet_base_v2,2,fake_d,8,Fake-D,L3,early_concat,142,0.6511627906976745,0.6882781301385953,0.037115339440920825,0.45317484593828083,0.5326881667887375,0.0795133208504567,0.22244866794436144,0.20876070243556272,0.013687965508798722,0.6618307042129694,0.6467254224674553,0.015105281745514065
model_1_all_mpnet_base_v2,2,fake_d,9,Fake-D,L3,early_concat,142,0.6673713883016209,0.7023725628376792,0.03500117453605833,0.5117262824037586,0.5464148737487206,0.03468859134496194,0.2340227177140482,0.21723987868191683,0.016782839032131375,0.7053896240808757,0.6832651418990945,0.022124482181781202
