embedding_model,repeat,condition,draw_id,domain_variant,model_level,fusion_method,n,base_auc,augmented_auc,delta_auc,base_pr_auc,augmented_pr_auc,delta_pr_auc,base_brier,augmented_brier,delta_brier,base_log_loss,augmented_log_loss,delta_log_loss
model_1_all_mpnet_base_v2,2,fake_d,20,Fake-D,L3,early_concat,142,0.671599718111346,0.7023725628376791,0.030772844726333126,0.514614913072095,0.5343079872282661,0.019693074156171164,0.22248843051858141,0.2098973072945314,0.01259112322405001,0.6491323306753988,0.6433201518955239,0.0058121787798748326
model_1_all_mpnet_base_v2,2,fake_d,21,Fake-D,L3,early_concat,142,0.6887479445618981,0.7310312426591496,0.04228329809725151,0.5299415504095726,0.5661595768249773,0.036218026415404725,0.21683911289879645,0.19986864284357808,0.016970470055218373,0.6396046589780076,0.6166045964539335,0.02300006252407405
model_1_all_mpnet_base_v2,2,fake_d,22,Fake-D,L3,early_concat,142,0.6333098426121682,0.654451491660794,0.02114164904862581,0.5156935401672321,0.5502279018615349,0.034534361694302795,0.2282065727761901,0.21947821628261352,0.008728356493576589,0.7070720908977213,0.707561430490786,-0.0004893395930647415
model_1_all_mpnet_base_v2,2,fake_d,23,Fake-D,L3,early_concat,142,0.6941508104298802,0.7033121916842845,0.009161381254404244,0.5685385296410297,0.5692517687485026,0.0007132391074728961,0.20449903115459217,0.20121043995122634,0.0032885912033658316,0.5988332807471053,0.6027526724920425,-0.003919391744937162
model_1_all_mpnet_base_v2,2,fake_d,24,Fake-D,L3,early_concat,142,0.6711299036880433,0.6932111815832747,0.0220812778952314,0.5338003513895588,0.5471598279234329,0.013359476533874037,0.22000756261520824,0.20874900498439447,0.011258557630813765,0.6740942855888481,0.6668722997756883,0.007221985813159804
model_1_all_mpnet_base_v2,2,fake_d,25,Fake-D,L3,early_concat,142,0.7322057787174066,0.7453605825698849,0.013154803852478358,0.6225395496494706,0.6182555469503619,-0.004284002699108669,0.19046511875784738,0.18834276310978576,0.0021223556480616246,0.5663922434772438,0.5744710941374449,-0.008078850660201087
model_1_all_mpnet_base_v2,2,fake_d,26,Fake-D,L3,early_concat,142,0.6840498003288701,0.7084801503406154,0.024430350011745317,0.5880003465754013,0.5763061088063015,-0.011694237769099836,0.20864184285582554,0.19833855276668463,0.01030329008914091,0.6391353099743244,0.6204852324359568,0.01865007753836767
model_1_all_mpnet_base_v2,2,fake_d,27,Fake-D,L3,early_concat,142,0.6405919661733614,0.677472398402631,0.03688043222926951,0.46164255902807433,0.5080172749687355,0.04637471594066117,0.22866995011394184,0.21497529042988306,0.01369465968405878,0.6990290250140702,0.6742656287825578,0.024763396231512358
model_1_all_mpnet_base_v2,2,fake_d,28,Fake-D,L3,early_concat,142,0.604886070002349,0.6502231618510688,0.04533709184871981,0.4360653402707603,0.486187932656055,0.05012259238529465,0.24528183874862855,0.22760289492140434,0.01767894382722421,0.7514424790541544,0.7326537701778579,0.018788708876296467
model_1_all_mpnet_base_v2,2,fake_d,29,Fake-D,L3,early_concat,142,0.696969696969697,0.7091848719755697,0.012215175005872658,0.5568513004528325,0.5703974809743536,0.013546180521521123,0.21081462704064965,0.2020023911354763,0.008812235905173355,0.6269033597104668,0.6146813598363882,0.012221999874078682
model_1_all_mpnet_base_v2,2,fake_d,30,Fake-D,L3,early_concat,142,0.6694855532064833,0.6849894291754756,0.015503875968992276,0.4857137519654049,0.5275000421167021,0.0417862901512972,0.22743173607314515,0.21853183831342385,0.008899897759721304,0.6828206927177953,0.6771191283823661,0.005701564335429232
model_1_all_mpnet_base_v2,2,fake_d,31,Fake-D,L3,early_concat,142,0.731266149870801,0.7728447263330984,0.041578576462297456,0.5821888585814616,0.6400503021802043,0.05786144359874268,0.1912286652147397,0.17260149233135955,0.018627172883380144,0.5944395789348073,0.5593511670072684,0.035088411927538865
model_1_all_mpnet_base_v2,2,fake_d,32,Fake-D,L3,early_concat,142,0.7117688513037349,0.7343199436222692,0.02255109231853425,0.5663280852912407,0.5755667263886872,0.009238641097446543,0.20654140084790865,0.19689507897283084,0.009646321875077801,0.6436658129402025,0.6187441400900158,0.02492167285018676
model_1_all_mpnet_base_v2,2,fake_d,33,Fake-D,L3,early_concat,142,0.6699553676297862,0.688747944561898,0.018792576932111782,0.5689332111944834,0.5467929985476282,-0.022140212646855173,0.216165588547784,0.20619180358091688,0.009973784966867127,0.6231456951928547,0.6159243388653081,0.007221356327546613
model_1_all_mpnet_base_v2,2,fake_d,34,Fake-D,L3,early_concat,142,0.67394879022786,0.7002583979328166,0.026309607704956606,0.5437477770359556,0.5712205186509604,0.027472741615004792,0.20324575709027937,0.19110615083407453,0.012139606256204832,0.6435140520644175,0.6340341585923074,0.00947989347211009
model_1_all_mpnet_base_v2,2,fake_d,35,Fake-D,L3,early_concat,142,0.6549213060840968,0.6753582334977684,0.020436927413671535,0.5527259846412557,0.5783872720223788,0.025661287381123166,0.2226613016841259,0.21569728641584077,0.006964015268285134,0.6708738582676145,0.674571779841365,-0.0036979215737504845
model_1_all_mpnet_base_v2,2,fake_d,36,Fake-D,L3,early_concat,142,0.7253934695795161,0.7416020671834626,0.01620859760394644,0.6214948691556013,0.6100632596341414,-0.011431609521459829,0.1927163361226281,0.18553594911758056,0.007180387005047528,0.5788249802543813,0.5779660738768523,0.0008589063775290562
