record_type,representation,repeat,outer_fold,draw,partition,assignment_type,recipient_id,donor_id,self_match,one_to_one,standardized_euclidean_distance,abs_standardized_pair_difference__interviewer_word_count,abs_standardized_pair_difference__interviewer_turn_count,abs_standardized_pair_difference__clinical_question_count,abs_standardized_pair_difference__clinical_prompt_coverage_count,abs_standardized_pair_difference__non_explicit_interviewer_turn_count,abs_standardized_pair_difference__d_p_domain_breadth,abs_standardized_pair_difference__d_p_total_evidence_count
pairwise,tfidf,1,3,1,outer_test,random_mismatch,439,320,False,True,7.373928877629986,1.281023763024727,3.392940208904993,4.02246391311374,3.17497975164233,3.1095912454553813,1.1685088368814935,1.9814335664823934
pairwise,tfidf,1,3,1,outer_test,random_mismatch,446,474,False,True,2.3217964721148694,1.159021499879515,1.2440780765984976,0.5028079891392175,0.5291632919403884,1.255796464510827,0.5842544184407468,0.22015928516471037
pairwise,tfidf,1,3,1,outer_test,random_mismatch,447,397,False,True,2.2106262019964835,1.2287370788196361,1.1875290731167476,0.0,0.0,1.255796464510827,0.5842544184407468,0.22015928516471037
pairwise,tfidf,1,3,1,outer_test,random_mismatch,459,315,False,True,3.505311882441448,1.7864617103406057,0.11309800696349978,1.5084239674176525,1.587489875821165,0.05979983164337272,1.7527632553222403,1.1007964258235519
pairwise,tfidf,1,3,1,outer_test,random_mismatch,474,447,False,True,1.8149966456999238,0.6361546578286059,0.8482350522262483,0.0,0.0,0.8969974746505908,1.1685088368814935,0.0
pairwise,tfidf,1,3,1,outer_test,random_mismatch,475,436,False,True,1.563869124917497,0.5402957367859393,0.7916860487444984,0.5028079891392175,0.5291632919403884,0.7773978113638453,0.5842544184407468,0.22015928516471037
pairwise,tfidf,1,3,1,outer_test,random_mismatch,489,425,False,True,2.982748559160863,0.6622979999311513,0.9047840557079982,1.5084239674176525,1.587489875821165,1.1361968012240817,0.5842544184407468,1.1007964258235519
pairwise,tfidf,1,3,1,outer_test,random_mismatch,491,380,False,True,2.4704871777730166,0.4705801578458181,0.28274501740874947,1.5084239674176525,1.587489875821165,0.47839865314698177,0.5842544184407468,0.6604778554941311
pairwise,tfidf,1,3,2,outer_test,random_mismatch,305,307,False,True,3.795930096976759,0.8627302893839999,1.4702740905254972,2.01123195655687,0.5291632919403884,1.3155962961541998,1.7527632553222403,1.5411149961529726
pairwise,tfidf,1,3,2,outer_test,random_mismatch,307,320,False,True,5.592807155350735,1.8387483945456966,1.6964701044524966,3.5196559239745224,2.645816459701942,1.3753961277975726,1.1685088368814935,1.5411149961529726
