representation,repeat,prediction_scope,metric,estimate,r2,delta_mse,mae,rmse,spearman_rho,target_mse,null_mse,r2_defined,n_participants,interpretation_scope
mpnet,6,outer_test,rmse,0.12389622184419823,-0.002480435300674877,-3.798115118879182e-05,0.06118003024341579,0.12389622184419823,0.1011391317397171,0.015350273787266782,0.01531229263607799,True,142,label_only_common_outcome_alignment_benchmark
mpnet,6,outer_test,spearman_rho,0.1011391317397171,-0.002480435300674877,-3.798115118879182e-05,0.06118003024341579,0.12389622184419823,0.1011391317397171,0.015350273787266782,0.01531229263607799,True,142,label_only_common_outcome_alignment_benchmark
mpnet,7,outer_test,r2,-0.029527584429945186,-0.029527584429945186,-0.003439694198875548,0.16017636727758294,0.34630993482683514,0.2949898379446888,0.1199305709597668,0.11649087676089125,True,142,label_only_common_outcome_alignment_benchmark
mpnet,7,outer_test,delta_mse,-0.003439694198875548,-0.029527584429945186,-0.003439694198875548,0.16017636727758294,0.34630993482683514,0.2949898379446888,0.1199305709597668,0.11649087676089125,True,142,label_only_common_outcome_alignment_benchmark
mpnet,7,outer_test,mae,0.16017636727758294,-0.029527584429945186,-0.003439694198875548,0.16017636727758294,0.34630993482683514,0.2949898379446888,0.1199305709597668,0.11649087676089125,True,142,label_only_common_outcome_alignment_benchmark
mpnet,7,outer_test,rmse,0.34630993482683514,-0.029527584429945186,-0.003439694198875548,0.16017636727758294,0.34630993482683514,0.2949898379446888,0.1199305709597668,0.11649087676089125,True,142,label_only_common_outcome_alignment_benchmark
mpnet,7,outer_test,spearman_rho,0.2949898379446888,-0.029527584429945186,-0.003439694198875548,0.16017636727758294,0.34630993482683514,0.2949898379446888,0.1199305709597668,0.11649087676089125,True,142,label_only_common_outcome_alignment_benchmark
mpnet,8,outer_test,r2,-0.3544228200138313,-0.3544228200138313,-0.012524749529409455,0.17155797798572217,0.2187765742577903,0.2038615971357085,0.047863189443974434,0.03533843991456498,True,142,label_only_common_outcome_alignment_benchmark
mpnet,8,outer_test,delta_mse,-0.012524749529409455,-0.3544228200138313,-0.012524749529409455,0.17155797798572217,0.2187765742577903,0.2038615971357085,0.047863189443974434,0.03533843991456498,True,142,label_only_common_outcome_alignment_benchmark
mpnet,8,outer_test,mae,0.17155797798572217,-0.3544228200138313,-0.012524749529409455,0.17155797798572217,0.2187765742577903,0.2038615971357085,0.047863189443974434,0.03533843991456498,True,142,label_only_common_outcome_alignment_benchmark
mpnet,8,outer_test,rmse,0.2187765742577903,-0.3544228200138313,-0.012524749529409455,0.17155797798572217,0.2187765742577903,0.2038615971357085,0.047863189443974434,0.03533843991456498,True,142,label_only_common_outcome_alignment_benchmark
mpnet,8,outer_test,spearman_rho,0.2038615971357085,-0.3544228200138313,-0.012524749529409455,0.17155797798572217,0.2187765742577903,0.2038615971357085,0.047863189443974434,0.03533843991456498,True,142,label_only_common_outcome_alignment_benchmark
mpnet,9,outer_test,r2,0.029414011228817816,0.029414011228817816,0.00887691424265502,0.26753198483551655,0.5412163325279613,0.33407917925078806,0.29291511859501684,0.30179203283767186,True,142,label_only_common_outcome_alignment_benchmark
mpnet,9,outer_test,delta_mse,0.00887691424265502,0.029414011228817816,0.00887691424265502,0.26753198483551655,0.5412163325279613,0.33407917925078806,0.29291511859501684,0.30179203283767186,True,142,label_only_common_outcome_alignment_benchmark
mpnet,9,outer_test,mae,0.26753198483551655,0.029414011228817816,0.00887691424265502,0.26753198483551655,0.5412163325279613,0.33407917925078806,0.29291511859501684,0.30179203283767186,True,142,label_only_common_outcome_alignment_benchmark
