representation,repeat,draw,domain_type,r2,mae,rmse,spearman_rho,mse_improvement,target_mse,null_mse,interpretation_scope
tfidf,1,73,fake,0.7559084463629825,0.18920470917166493,0.23389216412953673,0.8951656674161919,0.7559084463629825,0.05470554444119814,0.22411895711290938,real_D_vs_fake_D_negative_control
tfidf,1,74,fake,0.7526893952290138,0.19141688229127557,0.2354293839439681,0.8917959475346351,0.7526893952290138,0.05542699482423634,0.22411895711290938,real_D_vs_fake_D_negative_control
tfidf,1,75,fake,0.7551277831658173,0.18994709676324883,0.23426588710865104,0.8918294770856954,0.7551277831658173,0.054880505862803235,0.22411895711290938,real_D_vs_fake_D_negative_control
tfidf,1,76,fake,0.7586644672917582,0.18811845406614033,0.23256798555446015,0.8936316904551846,0.7586644672917582,0.05408786790485959,0.22411895711290938,real_D_vs_fake_D_negative_control
tfidf,1,77,fake,0.7647075894450802,0.18459953509431223,0.2296377357277134,0.8956853754576259,0.7647075894450802,0.05273348967015114,0.22411895711290938,real_D_vs_fake_D_negative_control
tfidf,1,78,fake,0.7624619909549846,0.1866449131015795,0.23073094907672378,0.8933424980772898,0.7624619909549846,0.05323677086184571,0.22411895711290938,real_D_vs_fake_D_negative_control
tfidf,1,79,fake,0.759922758081504,0.18718153184988093,0.23196090421732057,0.8848301833018647,0.759922758081504,0.053805861085316965,0.22411895711290938,real_D_vs_fake_D_negative_control
tfidf,1,80,fake,0.7565973012084903,0.1897707328151753,0.23356189546161157,0.8915612406772131,0.7565973012084903,0.05455115901162077,0.22411895711290938,real_D_vs_fake_D_negative_control
tfidf,1,81,fake,0.7611565813987972,0.18865959218386552,0.2313640808124365,0.8964062608054219,0.7611565813987972,0.053529337890183645,0.22411895711290938,real_D_vs_fake_D_negative_control
tfidf,1,82,fake,0.7571972385599526,0.18846545300234122,0.23327387697313634,0.8869173978553662,0.7571972385599526,0.054416701678077946,0.22411895711290938,real_D_vs_fake_D_negative_control
tfidf,1,83,fake,0.7593214027953481,0.18875732343772025,0.23225123509877094,0.8960667741009367,0.7593214027953481,0.05394063620490457,0.22411895711290938,real_D_vs_fake_D_negative_control
tfidf,1,84,fake,0.7591278691357548,0.18953071346175826,0.23234459487334508,0.8960919212642319,0.7591278691357548,0.05398401076685885,0.22411895711290938,real_D_vs_fake_D_negative_control
tfidf,1,85,fake,0.7482363935996608,0.1920085300242758,0.23753946389059025,0.8873155612742069,0.7482363935996608,0.05642499690542903,0.22411895711290938,real_D_vs_fake_D_negative_control
tfidf,1,86,fake,0.752051464813086,0.1913490373217274,0.2357328299659695,0.8929694818217443,0.752051464813086,0.055569967123764684,0.22411895711290938,real_D_vs_fake_D_negative_control
