representation,repeat,draw,draw_type,model_name,roc_auc,pr_auc,brier,log_loss,sensitivity_at_0_50,specificity_at_0_50,interpretation_scope
tfidf,1,24,random_mismatch,P+I-random_mismatch,0.7000234907211652,0.5659543084669658,0.2188236915349212,0.6316326041702027,0.627906976744186,0.7070707070707071,pairing_dependence
tfidf,1,24,random_mismatch,P+I-real,0.7859995301855767,0.6465675556571029,0.19787390123382068,0.588643146640921,0.7209302325581395,0.7171717171717171,pairing_dependence
tfidf,1,24,random_mismatch,full,0.8769086210946676,0.74484004066111,0.1576127305289726,0.47963762980789293,0.9069767441860465,0.6868686868686869,pairing_dependence
tfidf,1,24,random_mismatch,full+I-random_mismatch,0.8726802912849424,0.7322383021220755,0.14968401958340175,0.482114001245411,0.8604651162790697,0.7474747474747475,pairing_dependence
tfidf,1,24,random_mismatch,full+I-real,0.8691566831101715,0.7509337186796178,0.1534773266850414,0.4577653458909274,0.813953488372093,0.7272727272727273,pairing_dependence
tfidf,1,25,random_mismatch,P,0.6960300681230912,0.6159035881617341,0.23706559430848198,0.6671325860920367,0.627906976744186,0.6666666666666666,pairing_dependence
tfidf,1,25,random_mismatch,P+I-random_mismatch,0.6636128729151984,0.5084966452313635,0.22820932350114576,0.6497282610344289,0.6511627906976745,0.6363636363636364,pairing_dependence
tfidf,1,25,random_mismatch,P+I-real,0.7918722104768616,0.6356939137431465,0.2044488056992987,0.6010275043227453,0.6976744186046512,0.7171717171717171,pairing_dependence
tfidf,1,25,random_mismatch,full,0.8764388066713648,0.7354048980378807,0.1438561020028182,0.4871319672190382,0.8372093023255814,0.7676767676767676,pairing_dependence
tfidf,1,25,random_mismatch,full+I-random_mismatch,0.8585858585858587,0.733902069209155,0.15414300978159545,0.4826471723768471,0.8372093023255814,0.7171717171717171,pairing_dependence
tfidf,1,25,random_mismatch,full+I-real,0.859995301855767,0.6861563211805032,0.16355873533994114,0.5636329722041997,0.8837209302325582,0.7373737373737373,pairing_dependence
tfidf,1,26,random_mismatch,P,0.6960300681230912,0.6159035881617341,0.23706559430848198,0.6671325860920367,0.627906976744186,0.6666666666666666,pairing_dependence
tfidf,1,26,random_mismatch,P+I-random_mismatch,0.6927413671599718,0.6128990920794147,0.23788175966493566,0.6687636651732055,0.6511627906976745,0.6161616161616161,pairing_dependence
tfidf,1,26,random_mismatch,P+I-real,0.7780126849894293,0.6057860424490109,0.19747711996460238,0.5834477572038603,0.6976744186046512,0.7070707070707071,pairing_dependence
tfidf,1,26,random_mismatch,full,0.8879492600422833,0.768247670191529,0.1427386969136796,0.43723421722398176,0.8372093023255814,0.7373737373737373,pairing_dependence
tfidf,1,26,random_mismatch,full+I-random_mismatch,0.8799624148461358,0.753927456289066,0.15065733045703966,0.4589317245061311,0.8837209302325582,0.7070707070707071,pairing_dependence
tfidf,1,26,random_mismatch,full+I-real,0.8545924359877848,0.7255380424937589,0.16820943417847806,0.5002872940381345,0.8837209302325582,0.6868686868686869,pairing_dependence
tfidf,1,27,random_mismatch,P,0.6960300681230912,0.6159035881617341,0.23706559430848198,0.6671325860920367,0.627906976744186,0.6666666666666666,pairing_dependence
tfidf,1,27,random_mismatch,P+I-random_mismatch,0.6795865633074935,0.54400954822897,0.2248590791985264,0.6457815902164311,0.5581395348837209,0.6363636363636364,pairing_dependence
tfidf,1,27,random_mismatch,P+I-real,0.7956307258632839,0.6326711643817502,0.19813510141860963,0.5833467927340643,0.7209302325581395,0.7070707070707071,pairing_dependence
tfidf,1,27,random_mismatch,full,0.8797275076344844,0.7492996632674961,0.15529741402795705,0.4759811723607718,0.8837209302325582,0.696969696969697,pairing_dependence
tfidf,1,27,random_mismatch,full+I-random_mismatch,0.8757340850364106,0.7453237598514589,0.15331653186251556,0.46729699301740735,0.8372093023255814,0.7171717171717171,pairing_dependence
tfidf,1,27,random_mismatch,full+I-real,0.8691566831101715,0.7509337186796178,0.1534773266850414,0.4577653458909274,0.813953488372093,0.7272727272727273,pairing_dependence
tfidf,1,28,random_mismatch,P,0.6960300681230912,0.6159035881617341,0.23706559430848198,0.6671325860920367,0.627906976744186,0.6666666666666666,pairing_dependence
tfidf,1,28,random_mismatch,P+I-random_mismatch,0.6918017383133661,0.5503013425455361,0.23195385217534717,0.6582598778073946,0.6744186046511628,0.6161616161616161,pairing_dependence
tfidf,1,28,random_mismatch,P+I-real,0.7859995301855768,0.6662972425672571,0.1968750828352421,0.5830507649705966,0.7209302325581395,0.7070707070707071,pairing_dependence
tfidf,1,28,random_mismatch,full,0.8520084566596194,0.720450937282086,0.1637331232941398,0.48716652084022155,0.8372093023255814,0.7070707070707071,pairing_dependence
tfidf,1,28,random_mismatch,full+I-random_mismatch,0.8804322292694385,0.7594249494047925,0.14678624586608946,0.44913557392726616,0.813953488372093,0.7676767676767676,pairing_dependence
tfidf,1,28,random_mismatch,full+I-real,0.8839558374442096,0.7497954364828808,0.15941039869406967,0.4882644267122957,0.9302325581395349,0.7070707070707071,pairing_dependence
tfidf,1,29,random_mismatch,P,0.6960300681230912,0.6159035881617341,0.23706559430848198,0.6671325860920367,0.627906976744186,0.6666666666666666,pairing_dependence
tfidf,1,29,random_mismatch,P+I-random_mismatch,0.6490486257928118,0.471110323015978,0.23606398964449576,0.666556373791898,0.6046511627906976,0.6363636363636364,pairing_dependence
tfidf,1,29,random_mismatch,P+I-real,0.7975099835564952,0.6392003442428874,0.21024846740330055,0.6121637459527969,0.7209302325581395,0.7070707070707071,pairing_dependence
tfidf,1,29,random_mismatch,full,0.8759689922480619,0.7441482549414715,0.15326746578941727,0.46681240462906765,0.8604651162790697,0.7171717171717171,pairing_dependence
tfidf,1,29,random_mismatch,full+I-random_mismatch,0.8738548273431993,0.7418483728315385,0.154772207291488,0.4692778957225495,0.8604651162790697,0.7272727272727273,pairing_dependence
tfidf,1,29,random_mismatch,full+I-real,0.8839558374442096,0.7497954364828808,0.15941039869406967,0.4882644267122957,0.9302325581395349,0.7070707070707071,pairing_dependence
tfidf,1,30,random_mismatch,P,0.6960300681230912,0.6159035881617341,0.23706559430848198,0.6671325860920367,0.627906976744186,0.6666666666666666,pairing_dependence
tfidf,1,30,random_mismatch,P+I-random_mismatch,0.6638477801268499,0.5026547442579169,0.23543769492282662,0.6633965289283104,0.5813953488372093,0.6262626262626263,pairing_dependence
tfidf,1,30,random_mismatch,P+I-real,0.7834155508574114,0.60326778754688,0.1969307539105076,0.584186530054905,0.7209302325581395,0.7171717171717171,pairing_dependence
tfidf,1,30,random_mismatch,full,0.8759689922480619,0.7441482549414715,0.15326746578941727,0.46681240462906765,0.8604651162790697,0.7171717171717171,pairing_dependence
tfidf,1,30,random_mismatch,full+I-random_mismatch,0.8801973220577872,0.7615828424691645,0.14873536497234557,0.4520984127904555,0.8372093023255814,0.7474747474747475,pairing_dependence
tfidf,1,30,random_mismatch,full+I-real,0.8691566831101715,0.7509337186796178,0.1534773266850414,0.4577653458909274,0.813953488372093,0.7272727272727273,pairing_dependence
tfidf,1,31,random_mismatch,P,0.6960300681230912,0.6159035881617341,0.23706559430848198,0.6671325860920367,0.627906976744186,0.6666666666666666,pairing_dependence
tfidf,1,31,random_mismatch,P+I-random_mismatch,0.6565656565656566,0.5491874316901028,0.22427672925215136,0.6406335071544952,0.5348837209302325,0.6464646464646465,pairing_dependence
tfidf,1,31,random_mismatch,P+I-real,0.778482499412732,0.653076090025312,0.19174275301616323,0.5664576689175073,0.6976744186046512,0.7070707070707071,pairing_dependence
tfidf,1,31,random_mismatch,full,0.8696264975334743,0.7347234281911621,0.15194424946856305,0.4608923154573276,0.8604651162790697,0.7373737373737373,pairing_dependence
tfidf,1,31,random_mismatch,full+I-random_mismatch,0.8785529715762274,0.758163702530981,0.1496017392353275,0.4515204862288043,0.813953488372093,0.7373737373737373,pairing_dependence
tfidf,1,31,random_mismatch,full+I-real,0.8905332393704487,0.772805393993158,0.1427900526253561,0.43723826532215115,0.8372093023255814,0.7373737373737373,pairing_dependence
