record_type,representation,repeat,outer_fold,partition,draw,assignment_type,n_pairs,no_self,one_to_one,mean_distance,median_distance,q95_distance,max_distance,total_distance,total_cost,max_abs_smd,random_distance_q05,optimal_distance_random_percentile,n_features_mean_abs_paired_diff_lt_0_50,matching_adequate
random_reference,tfidf,1,2,outer_test,11,random_mismatch,29,True,True,3.0091181502869837,3.1991174626088075,4.766943863126905,7.206898514961784,87.26442635832252,311.3462244911403,3.062684205862501e-17,,,0,False
random_reference,tfidf,1,2,outer_test,12,random_mismatch,29,True,True,3.0226765597927714,2.3367758385428963,6.000604865332136,6.318925774698048,87.65762023399037,333.8752630729717,2.0098865100972662e-17,,,2,False
random_reference,tfidf,1,2,outer_test,13,random_mismatch,29,True,True,3.2226389552216883,3.3519960960323902,6.051392744265235,7.135082504011473,93.45652970142896,364.1589658214924,1.5313421029312504e-17,,,0,False
random_reference,tfidf,1,2,outer_test,14,random_mismatch,29,True,True,3.0402451365545,3.2699344102861927,4.375077214910528,5.988074851064772,88.1671089600805,300.38096766227847,3.062684205862501e-17,,,0,False
random_reference,tfidf,1,2,outer_test,15,random_mismatch,29,True,True,3.1025738770680578,2.717387669417599,5.208045983155465,6.079682434990695,89.97464243497367,323.9312449442951,5.3596973602593766e-17,,,0,False
random_reference,tfidf,1,2,outer_test,16,random_mismatch,29,True,True,3.3222440085143004,3.1894303727874855,5.2506073547646155,5.988074851064772,96.34507624691472,359.14588029077515,4.594026308793751e-17,,,0,False
random_reference,tfidf,1,2,outer_test,17,random_mismatch,29,True,True,3.0101445772072037,2.7934374973289575,5.177921628319924,6.270953277826049,87.2941927390089,316.1537108213168,3.4455197315953135e-17,,,0,False
random_reference,tfidf,1,2,outer_test,18,random_mismatch,29,True,True,2.8665803925663678,2.434849686895738,4.5599470248717315,6.425707839197926,83.13083138442467,276.06338257990774,2.2970131543968756e-17,,,0,False
random_reference,tfidf,1,2,outer_test,19,random_mismatch,29,True,True,3.185690976265287,2.991333960984551,4.943002217482368,7.498847237370663,92.38503831169332,342.1139086210648,2.2970131543968756e-17,,,0,False
random_reference,tfidf,1,2,outer_test,20,random_mismatch,29,True,True,2.879329852175622,2.7329239506961787,4.513105115730805,7.206898514961784,83.50056571309304,279.3138262738059,2.2970131543968756e-17,,,0,False
random_reference,tfidf,1,2,outer_test,21,random_mismatch,29,True,True,3.1237457310131735,2.7120247482670012,6.666049395586708,7.498847237370663,90.58862619938203,355.6465596967476,3.062684205862501e-17,,,0,False
random_reference,tfidf,1,2,outer_test,22,random_mismatch,29,True,True,3.163437061133592,3.0617514010063664,5.087610404893735,6.425707839197926,91.73967477287417,334.35196499826634,1.914177628664063e-17,,,0,False
random_reference,tfidf,1,2,outer_test,23,random_mismatch,29,True,True,3.072942517696793,2.8783579110468014,4.56741675284617,5.37648571791697,89.11533301320699,300.0531522925137,1.5313421029312504e-17,,,0,False
random_reference,tfidf,1,2,outer_test,24,random_mismatch,29,True,True,3.181717818188218,2.6654723604742294,4.785522499679546,6.299003421378172,92.26981672745832,324.5869040384429,4.976861834526564e-17,,,0,False
random_reference,tfidf,1,2,outer_test,25,random_mismatch,29,True,True,3.1870755280170204,2.8783579110468014,5.907125327932904,7.659755233764055,92.4251903124936,358.26025993500065,6.891039463190627e-17,,,0,False
random_reference,tfidf,1,2,outer_test,26,random_mismatch,29,True,True,3.083697575527726,2.8718299524271487,5.069275711599106,5.905372748125404,89.42722969030405,307.51821257530753,3.062684205862501e-17,,,0,False
random_reference,tfidf,1,2,outer_test,27,random_mismatch,29,True,True,2.948987769320305,2.8108606203937407,5.098084970855946,5.745116674286167,85.52064531028884,303.1608109093222,3.828355257328126e-17,,,0,False
random_reference,tfidf,1,2,outer_test,28,random_mismatch,29,True,True,3.1090635316478674,3.291531107405219,4.063278662213147,7.127759784057796,90.16284241778816,318.54822199065217,2.2970131543968756e-17,,,0,False
random_reference,tfidf,1,2,outer_test,29,random_mismatch,29,True,True,3.2233586597139747,2.858565757122247,4.907854249059473,6.318925774698048,93.47740113170526,340.25811554427264,6.891039463190627e-17,,,0,False
random_reference,tfidf,1,2,outer_test,30,random_mismatch,29,True,True,3.036193271588858,2.7703779346935167,6.2235576987798975,7.659755233764055,88.04960487607688,349.20047569654844,4.594026308793751e-17,,,0,False
random_reference,tfidf,1,2,outer_test,31,random_mismatch,29,True,True,2.701538763019102,2.2992870635838933,4.54823493685065,4.962200243353817,78.34462412755396,240.43694963050604,2.2970131543968756e-17,,,0,False
random_reference,tfidf,1,2,outer_test,32,random_mismatch,29,True,True,3.143760745687372,2.9477386088787396,5.408161591035708,7.127759784057796,91.16906162493379,334.408919252497,2.2970131543968756e-17,,,0,False
random_reference,tfidf,1,2,outer_test,33,random_mismatch,29,True,True,3.127956445438261,2.8031502297167887,5.015424300647605,6.4026291963424855,90.71073691770957,332.33655117484665,3.828355257328126e-17,,,0,False
random_reference,tfidf,1,2,outer_test,34,random_mismatch,29,True,True,2.941077960931021,2.575249645167221,4.994260626189923,5.05090700551013,85.29126086699961,296.3239871057303,6.125368411725002e-17,,,1,False
random_reference,tfidf,1,2,outer_test,35,random_mismatch,29,True,True,3.046068616311861,2.5520739702838595,5.484330154737126,6.270953277826049,88.33598987304397,317.2424387601044,2.703775900487989e-17,,,0,False
