representation,repeat,draw,draw_type,matched_model_name,weak_real_delta_auc,weak_matched_delta_auc,full_real_delta_auc,full_matched_delta_auc,weak_real_minus_matched_delta_auc,weak_matched_minus_no_i_delta_auc,real_minus_matched_delta_auc,matched_minus_no_i_delta_auc,weak_real_minus_optimal_delta_auc_x,weak_real_minus_random_delta_auc,weak_optimal_minus_no_i_delta_auc_x,weak_random_minus_no_i_delta_auc,real_minus_optimal_delta_auc,real_minus_random_delta_auc,optimal_minus_no_i_delta_auc,random_minus_no_i_delta_auc,real_minus_matched_full_delta_auc,mean_abs_probability_change_weak,mean_abs_probability_change_full,interpretation_scope_x,full_real_minus_optimal_delta_auc,full_real_minus_optimal_ci_low,full_real_minus_optimal_ci_high,full_real_minus_optimal_p_value,full_optimal_minus_no_i_delta_auc,full_optimal_minus_no_i_ci_low,full_optimal_minus_no_i_ci_high,weak_real_minus_optimal_delta_auc_y,weak_real_minus_optimal_ci_low,weak_real_minus_optimal_ci_high,weak_real_minus_optimal_p_value,weak_optimal_minus_no_i_delta_auc_y,weak_optimal_minus_no_i_ci_low,weak_optimal_minus_no_i_ci_high,real_minus_matched_delta_auc_observed,matched_minus_no_i_delta_auc_observed,ci_low,ci_high,optimal_minus_no_i_ci_low,optimal_minus_no_i_ci_high,p_value,n_bootstrap,n_permutations,primary_pairing_control,secondary_pairing_control,weak_control_scope,interpretation_scope_y
tfidf,1,11,random_mismatch,P+I-random_mismatch,0.08221752407798932,-0.05027014329339885,0.0025839793281654533,-0.009161381254404466,0.13248766737138817,-0.05027014329339885,0.01174536058256992,-0.009161381254404466,,0.13248766737138817,,-0.05027014329339885,,0.01174536058256992,,-0.009161381254404466,0.01174536058256992,0.15160889823856477,0.06676553391100637,pairing_dependence_not_identified_interaction_effect,,,,,,,,,,,,,,,,,,,,,,,,,,,
tfidf,1,12,random_mismatch,P+I-random_mismatch,0.09701667841202744,0.011510453370918605,-0.012684989429175508,0.013624618275781097,0.08550622504110883,0.011510453370918605,-0.026309607704956606,0.013624618275781097,,0.08550622504110883,,0.011510453370918605,,-0.026309607704956606,,0.013624618275781097,-0.026309607704956606,0.14544917975237542,0.06132479131256956,pairing_dependence_not_identified_interaction_effect,,,,,,,,,,,,,,,,,,,,,,,,,,,
tfidf,1,13,random_mismatch,P+I-random_mismatch,0.09654686398872458,-0.009866102889358519,0.027719050974864934,0.02466525722339674,0.1064129668780831,-0.009866102889358519,0.0030537937514681923,0.02466525722339674,,0.1064129668780831,,-0.009866102889358519,,0.0030537937514681923,,0.02466525722339674,0.0030537937514681923,0.11663391492268588,0.019163045639953122,pairing_dependence_not_identified_interaction_effect,,,,,,,,,,,,,,,,,,,,,,,,,,,
tfidf,1,14,random_mismatch,P+I-random_mismatch,0.08973455485083404,-0.0037585153864222454,0.017852948085506082,0.03288700963119573,0.09349307023725628,-0.0037585153864222454,-0.015034061545689648,0.03288700963119573,,0.09349307023725628,,-0.0037585153864222454,,-0.015034061545689648,,0.03288700963119573,-0.015034061545689648,0.12912544709790133,0.06973557756840791,pairing_dependence_not_identified_interaction_effect,,,,,,,,,,,,,,,,,,,,,,,,,,,
tfidf,1,15,random_mismatch,P+I-random_mismatch,0.0892647404275313,-0.027719050974864712,0.018322762508809043,0.016443504815597754,0.11698379140239601,-0.027719050974864712,0.0018792576932112892,0.016443504815597754,,0.11698379140239601,,-0.027719050974864712,,0.0018792576932112892,,0.016443504815597754,0.0018792576932112892,0.16295418632117029,0.0334287029964727,pairing_dependence_not_identified_interaction_effect,,,,,,,,,,,,,,,,,,,,,,,,,,,
tfidf,1,16,random_mismatch,P+I-random_mismatch,0.09678177120037612,-0.022081277895231177,0.013154803852478358,0.0011745360582570141,0.1188630490956073,-0.022081277895231177,0.011980267794221344,0.0011745360582570141,,0.1188630490956073,,-0.022081277895231177,,0.011980267794221344,,0.0011745360582570141,0.011980267794221344,0.16474911698652436,0.05770944956879633,pairing_dependence_not_identified_interaction_effect,,,,,,,,,,,,,,,,,,,,,,,,,,,
tfidf,1,17,random_mismatch,P+I-random_mismatch,0.09184871975569664,-0.04322292694385699,0.013154803852478136,0.01926239135541441,0.13507164669955363,-0.04322292694385699,-0.006107587502936274,0.01926239135541441,,0.13507164669955363,,-0.04322292694385699,,-0.006107587502936274,,0.01926239135541441,-0.006107587502936274,0.15596944695567125,0.041470569516731615,pairing_dependence_not_identified_interaction_effect,,,,,,,,,,,,,,,,,,,,,,,,,,,
tfidf,1,18,random_mismatch,P+I-random_mismatch,0.10054028658679837,0.0032887009631197284,0.015973690392294904,0.02607470049330496,0.09725158562367864,0.0032887009631197284,-0.010101010101010055,0.02607470049330496,,0.09725158562367864,,0.0032887009631197284,,-0.010101010101010055,,0.02607470049330496,-0.010101010101010055,0.14845112559267282,0.06169519958436949,pairing_dependence_not_identified_interaction_effect,,,,,,,,,,,,,,,,,,,,,,,,,,,
tfidf,1,19,random_mismatch,P+I-random_mismatch,0.08809020436927428,-0.03547098895936096,-0.010335917312661702,-0.0037585153864224674,0.12356119332863524,-0.03547098895936096,-0.006577401926239235,-0.0037585153864224674,,0.12356119332863524,,-0.03547098895936096,,-0.006577401926239235,,-0.0037585153864224674,-0.006577401926239235,0.20506730669982481,0.041133186318514876,pairing_dependence_not_identified_interaction_effect,,,,,,,,,,,,,,,,,,,,,,,,,,,
tfidf,1,20,random_mismatch,P+I-random_mismatch,0.08550622504110905,-0.011275546159266958,0.0025839793281654533,-0.006577401926239124,0.09678177120037601,-0.011275546159266958,0.009161381254404577,-0.006577401926239124,,0.09678177120037601,,-0.011275546159266958,,0.009161381254404577,,-0.006577401926239124,0.009161381254404577,0.18393960229723005,0.043326715156915094,pairing_dependence_not_identified_interaction_effect,,,,,,,,,,,,,,,,,,,,,,,,,,,
tfidf,1,21,random_mismatch,P+I-random_mismatch,0.0913789053323939,0.0035236081747711534,-0.03335682405449847,-0.010101010101010055,0.08785529715762275,0.0035236081747711534,-0.023255813953488413,-0.010101010101010055,,0.08785529715762275,,0.0035236081747711534,,-0.023255813953488413,,-0.010101010101010055,-0.023255813953488413,0.11678111920956985,0.05754851474334003,pairing_dependence_not_identified_interaction_effect,,,,,,,,,,,,,,,,,,,,,,,,,,,
tfidf,1,22,random_mismatch,P+I-random_mismatch,0.10054028658679837,-0.039699318769086056,-0.0028188865398166563,-0.02654451491660781,0.14023960535588442,-0.039699318769086056,0.023725628376791152,-0.02654451491660781,,0.14023960535588442,,-0.039699318769086056,,0.023725628376791152,,-0.02654451491660781,0.023725628376791152,0.15253246882782248,0.06587288435842141,pairing_dependence_not_identified_interaction_effect,,,,,,,,,,,,,,,,,,,,,,,,,,,
tfidf,1,23,random_mismatch,P+I-random_mismatch,0.0883251115809256,-0.02560488607000222,0.021376556260277124,0.0032887009631195063,0.11392999765092782,-0.02560488607000222,0.018087855297157618,0.0032887009631195063,,0.11392999765092782,,-0.02560488607000222,,0.018087855297157618,,0.0032887009631195063,0.018087855297157618,0.16405249807958086,0.11524497270240885,pairing_dependence_not_identified_interaction_effect,,,,,,,,,,,,,,,,,,,,,,,,,,,
tfidf,1,24,random_mismatch,P+I-random_mismatch,0.08996946206248546,0.0039934225980740035,-0.007751937984496138,-0.0042283298097252064,0.08597603946441146,0.0039934225980740035,-0.0035236081747709314,-0.0042283298097252064,,0.08597603946441146,,0.0039934225980740035,,-0.0035236081747709314,,-0.0042283298097252064,-0.0035236081747709314,0.15695240651306097,0.07825693102402265,pairing_dependence_not_identified_interaction_effect,,,,,,,,,,,,,,,,,,,,,,,,,,,
tfidf,1,25,random_mismatch,P+I-random_mismatch,0.09584214235377042,-0.03241719520789277,-0.016443504815597754,-0.017852948085506082,0.1282593375616632,-0.03241719520789277,0.0014094432699083281,-0.017852948085506082,,0.1282593375616632,,-0.03241719520789277,,0.0014094432699083281,,-0.017852948085506082,0.0014094432699083281,0.15513228093394776,0.10143639939183505,pairing_dependence_not_identified_interaction_effect,,,,,,,,,,,,,,,,,,,,,,,,,,,
tfidf,1,26,random_mismatch,P+I-random_mismatch,0.08198261686633812,-0.0032887009631193953,-0.03335682405449847,-0.007986845196147452,0.08527131782945752,-0.0032887009631193953,-0.025369978858351017,-0.007986845196147452,,0.08527131782945752,,-0.0032887009631193953,,-0.025369978858351017,,-0.007986845196147452,-0.025369978858351017,0.14184802841402114,0.0588870695262795,pairing_dependence_not_identified_interaction_effect,,,,,,,,,,,,,,,,,,,,,,,,,,,
