representation,repeat,subset,scale,n_participants,r2,mae,rmse,spearman_rho,mse_improvement,target_mse,null_mse,source_score_scale_sensitive,standardization_scope,interpretation_scope,n_outer_folds
mpnet,7,P+Q+R+D,raw,142,-0.16626408870896925,0.18982342830060916,0.36859072998170983,0.5702601264483195,-0.16626408870896925,0.13585912622844973,0.11649087676089129,True,none,recoverability_scale_sensitivity,5
mpnet,7,P+Q+R+D,outer_train_standardized,142,0.004443590491485572,44.155536422610716,123.24283246837814,0.6346662028412104,0.004443590491485572,15188.79575482872,15256.589792161665,True,outer_training_source_scores_only,recoverability_scale_sensitivity,5
mpnet,7,P+R,raw,142,-0.1766106682312223,0.19332319645992097,0.3702221067797995,0.5709013791123471,-0.1766106682312223,0.13706440834847325,0.11649087676089129,True,none,recoverability_scale_sensitivity,5
mpnet,7,P+R,outer_train_standardized,142,0.0043033598977820775,44.16825759448125,123.25151193990752,0.6223147544693844,0.0043033598977820775,15190.935195473165,15256.589792161665,True,outer_training_source_scores_only,recoverability_scale_sensitivity,5
mpnet,7,P+R+D,raw,142,-0.1735408488788861,0.19064144574264588,0.3697388299876307,0.5649540749930322,-0.1735408488788861,0.13670680240062208,0.11649087676089129,True,none,recoverability_scale_sensitivity,5
mpnet,7,P+R+D,outer_train_standardized,142,0.004328054674110904,44.16521795132843,123.24998351886586,0.6185804007200472,0.004328054674110904,15190.558437400707,15256.589792161665,True,outer_training_source_scores_only,recoverability_scale_sensitivity,5
mpnet,7,Q,raw,142,-0.02927175618727551,0.15853680583059132,0.3462669047187127,0.46950382551221637,-0.02927175618727551,0.11990076930347807,0.11649087676089129,True,none,recoverability_scale_sensitivity,5
mpnet,7,Q,outer_train_standardized,142,0.002562573833541415,44.23344614602749,123.35920579499204,0.46799499571450426,0.002562573833541415,15217.493654371197,15256.589792161665,True,outer_training_source_scores_only,recoverability_scale_sensitivity,5
mpnet,7,Q+D,raw,142,-0.020052361740894975,0.1521846576365735,0.34471262518395623,0.43320808648947706,-0.020052361740894975,0.11882679396121469,0.11649087676089129,True,none,recoverability_scale_sensitivity,5
mpnet,7,Q+D,outer_train_standardized,142,0.0027462052979246865,44.18972030349847,123.34784985741003,0.5072371440366646,0.0027462052979246865,15214.692064446168,15256.589792161665,True,outer_training_source_scores_only,recoverability_scale_sensitivity,5
mpnet,7,Q+R,raw,142,-0.15504437252867143,0.1900515736372071,0.3668134834675499,0.592100437770201,-0.15504437252867143,0.13455213165359847,0.11649087676089129,True,none,recoverability_scale_sensitivity,5
mpnet,7,Q+R,outer_train_standardized,142,0.0036222439724207245,44.16254263545188,123.29366042805003,0.6628729376706601,0.0036222439724207245,15201.326701747312,15256.589792161665,True,outer_training_source_scores_only,recoverability_scale_sensitivity,5
mpnet,7,Q+R+D,raw,142,-0.1541307650424144,0.18771166412966933,0.3666683852154547,0.563491348328028,-0.1541307650424144,0.13444570471650907,0.11649087676089129,True,none,recoverability_scale_sensitivity,5
mpnet,7,Q+R+D,outer_train_standardized,142,0.0037655877851999753,44.157795399065776,123.28479129234269,0.6433210182086418,0.0037655877851999753,15199.139763996494,15256.589792161665,True,outer_training_source_scores_only,recoverability_scale_sensitivity,5
mpnet,7,R,raw,142,-0.15916356407500354,0.1909769063282148,0.36746697795635563,0.5907341085644952,-0.15916356407500354,0.13503197988837676,0.11649087676089129,True,none,recoverability_scale_sensitivity,5
mpnet,7,R,outer_train_standardized,142,0.0035494531612147995,44.17181773617222,123.29816398184735,0.6423570436156592,0.0035494531612147995,15202.43724129452,15256.589792161665,True,outer_training_source_scores_only,recoverability_scale_sensitivity,5
mpnet,7,R+D,raw,142,-0.16025156449469047,0.1888174296979494,0.3676393912670163,0.5637260551854499,-0.16025156449469047,0.1351587220111823,0.11649087676089129,True,none,recoverability_scale_sensitivity,5
