representation,repeat,subset,prediction_scope,r2,delta_mse,mae,rmse,spearman_rho,target_mse,null_mse,r2_defined,interpretation_scope,total_recoverability_r2,full_label_conditioned_r2,interpretation_flag,high_total_r2_threshold,near_zero_conditioned_r2_threshold
bge,7,D,outer_test,-0.0013944444045550508,-0.0004190326183122761,0.43326413873947517,0.548562230273088,0.15743591140654373,0.3009205204821845,0.3005014878638722,True,label_conditioned_recoverability,0.07324379231919664,0.033751554189221045,inconclusive_label_conditioned_recoverability,0.5,0.05
bge,7,P_within,outer_test,-0.019075784195623724,-0.005732301532955064,0.43862577424793275,0.5533839439275657,-0.0010205557103968852,0.30623378939682727,0.3005014878638722,True,label_conditioned_recoverability,0.07324379231919664,0.033751554189221045,inconclusive_label_conditioned_recoverability,0.5,0.05
bge,7,P_within+Q+R+D,outer_test,0.033751554189221045,0.010142392251579035,0.4277293891984079,0.5388497894703989,0.3918032821239294,0.29035909561229317,0.3005014878638722,True,label_conditioned_recoverability,0.07324379231919664,0.033751554189221045,inconclusive_label_conditioned_recoverability,0.5,0.05
bge,7,Q,outer_test,-0.013924713500735875,-0.004184397125049255,0.44073936963180477,0.5519835912315886,0.07735057869909534,0.30468588498892146,0.3005014878638722,True,label_conditioned_recoverability,0.07324379231919664,0.033751554189221045,inconclusive_label_conditioned_recoverability,0.5,0.05
bge,7,R,outer_test,0.052337019027590914,0.015727352088150848,0.42325022955857244,0.5336423294452206,0.35485790804939743,0.28477413577572136,0.3005014878638722,True,label_conditioned_recoverability,0.07324379231919664,0.033751554189221045,inconclusive_label_conditioned_recoverability,0.5,0.05
bge,8,D,outer_test,0.021914667564967405,0.007113274405288417,0.46821010264488866,0.5634504251041532,0.20080659610795396,0.3174763815500509,0.32458965595533934,True,label_conditioned_recoverability,0.19083779473195628,0.09372383124170047,observable_blocks_reconstructed_interviewer_score_variation_beyond_binary_label_alignment,0.5,0.05
bge,8,P_within,outer_test,-0.0176112516326854,-0.0057164301083962865,0.4846369622123081,0.5747226166280005,-0.00784801054504381,0.3303060860637356,0.32458965595533934,True,label_conditioned_recoverability,0.19083779473195628,0.09372383124170047,observable_blocks_reconstructed_interviewer_score_variation_beyond_binary_label_alignment,0.5,0.05
bge,8,P_within+Q+R+D,outer_test,0.09372383124170047,0.03042178613755986,0.4419270865356612,0.5423724456660566,0.32631587770934495,0.2941678698177795,0.32458965595533934,True,label_conditioned_recoverability,0.19083779473195628,0.09372383124170047,observable_blocks_reconstructed_interviewer_score_variation_beyond_binary_label_alignment,0.5,0.05
bge,8,Q,outer_test,0.04768873769138582,0.01547927096019136,0.4616347244832034,0.5559769644465029,0.273515217177189,0.309110384995148,0.32458965595533934,True,label_conditioned_recoverability,0.19083779473195628,0.09372383124170047,observable_blocks_reconstructed_interviewer_score_variation_beyond_binary_label_alignment,0.5,0.05
bge,8,R,outer_test,0.10471893932265597,0.03399068448674897,0.4391925302406948,0.5390723248958255,0.35526864504988576,0.2905989714685904,0.32458965595533934,True,label_conditioned_recoverability,0.19083779473195628,0.09372383124170047,observable_blocks_reconstructed_interviewer_score_variation_beyond_binary_label_alignment,0.5,0.05
