representation,repeat,draw,domain_type,base_roc_auc,enhanced_roc_auc,base_pr_auc,enhanced_pr_auc,base_brier,enhanced_brier,base_log_loss,enhanced_log_loss,delta_auc,delta_pr_auc,delta_brier,delta_log_loss,interpretation_scope
tfidf,1,27,fake,0.8466055907916373,0.8489546629081512,0.7033672605520835,0.6465526175682612,0.17005613040470877,0.1803351937254505,0.5074422631380374,0.5456198385531067,0.0023490721165139172,-0.05681464298382233,-0.010279063320741744,-0.038177575415069276,real_D_vs_fake_D_negative_control
tfidf,1,28,fake,0.8567066008926474,0.829927178764388,0.7081066400333541,0.6439794546620189,0.17426873643341703,0.1817192021766941,0.520374278985671,0.5401504255292016,-0.026779422128259345,-0.06412718537133522,-0.007450465743277068,-0.01977614654353055,real_D_vs_fake_D_negative_control
tfidf,1,29,fake,0.8625792811839323,0.8442565186751234,0.6853278795755358,0.6604499588857532,0.15786937514069016,0.16856486494259554,0.4755331333192734,0.5053051677649032,-0.018322762508808932,-0.024877920689782562,-0.010695489801905378,-0.029772034445629814,real_D_vs_fake_D_negative_control
tfidf,1,30,fake,0.8282828282828283,0.7951609114399812,0.6496468690380564,0.6158363400526029,0.17846239895968524,0.18666054781790964,0.5287706397311656,0.5807492822066596,-0.03312191684284704,-0.03381052898545345,-0.008198148858224397,-0.051978642475494,real_D_vs_fake_D_negative_control
tfidf,1,31,fake,0.8548273431994362,0.8407329105003524,0.6624517864048497,0.6541525883060448,0.17220432953551337,0.17823242601300512,0.5250502428675323,0.5307147569635705,-0.014094432699083836,-0.00829919809880486,-0.006028096477491751,-0.005664514096038187,real_D_vs_fake_D_negative_control
tfidf,1,32,fake,0.8449612403100775,0.8423772609819121,0.6694077268778305,0.7013438042367067,0.16758376764209698,0.17691285489482822,0.5075614001466328,0.5265815246694057,-0.0025839793281653423,0.03193607735887627,-0.009329087252731239,-0.019020124522772908,real_D_vs_fake_D_negative_control
tfidf,1,33,fake,0.8480150340615458,0.8670425182053088,0.6786477569335158,0.7329688714539931,0.17358181324255945,0.15492974875797433,0.5142548436202816,0.4592811658226548,0.019027484143762985,0.05432111452047739,0.018652064484585118,0.054973677797626797,real_D_vs_fake_D_negative_control
tfidf,1,34,fake,0.8463706835799859,0.8531829927178765,0.6684023830502996,0.7052468222626116,0.1779410620137481,0.1663329744745047,0.5297467089604239,0.4965560635210163,0.006812309137890549,0.03684443921231195,0.011608087539243389,0.033190645439407584,real_D_vs_fake_D_negative_control
tfidf,1,35,fake,0.8623443739722809,0.848249941273197,0.7028013595489009,0.67818657995874,0.16345401518616637,0.17734229353101943,0.49682276818915994,0.5286779267125099,-0.014094432699083947,-0.024614779590160896,-0.013888278344853067,-0.03185515852334997,real_D_vs_fake_D_negative_control
tfidf,1,36,fake,0.8510688278130139,0.8360347662673244,0.6887658056494085,0.6512683771805943,0.16566554616327803,0.17200578407280898,0.5032242558016965,0.5235460269611076,-0.015034061545689426,-0.03749742846881421,-0.006340237909530949,-0.02032177115941114,real_D_vs_fake_D_negative_control
tfidf,1,37,fake,0.8409678177120037,0.8560018792576931,0.6610071651742769,0.6867950997262905,0.17468080701544267,0.16481818508528093,0.5179165887348353,0.4944823355526196,0.015034061545689426,0.02578793455201356,0.009862621930161741,0.023434253182215647,real_D_vs_fake_D_negative_control
tfidf,1,38,fake,0.8515386422363167,0.8524782710829223,0.6569509482581973,0.6401540684526703,0.16565478537156633,0.17188554421572796,0.50884794285135,0.5303853510796608,0.0009396288466055891,-0.01679687980552702,-0.006230758844161632,-0.02153740822831074,real_D_vs_fake_D_negative_control
tfidf,1,39,fake,0.82687338501292,0.8534178999295278,0.6354784675882393,0.6789938828695263,0.1742287729528719,0.16632999145073799,0.5151655780896274,0.5029513298507323,0.02654451491660781,0.043515415281286995,0.007898781502133911,0.012214248238895054,real_D_vs_fake_D_negative_control
tfidf,1,40,fake,0.8656330749354004,0.8510688278130139,0.6777675880167723,0.6774722264245392,0.16789644304954643,0.1745963362859847,0.507528502147317,0.524333129260262,-0.014564247122386575,-0.0002953615922330899,-0.00669989323643827,-0.016804627112944948,real_D_vs_fake_D_negative_control
tfidf,1,41,fake,0.8456659619450316,0.8658679821470519,0.654992606482498,0.6933875445543538,0.16862916658381852,0.1589735277701048,0.5078523937810089,0.48788023437462646,0.02020202020202022,0.03839493807185579,0.00965563881371373,0.019972159406382417,real_D_vs_fake_D_negative_control
tfidf,1,42,fake,0.8433168898285177,0.8569415081042988,0.6239550473064098,0.6584700699872362,0.17371478091271578,0.17126545188728204,0.5275915451903211,0.5267168981611824,0.013624618275781097,0.0345150226808264,0.0024493290254337385,0.0008746470291387531,real_D_vs_fake_D_negative_control
tfidf,1,43,fake,0.8318064364575992,0.8336856941508104,0.6151456813445858,0.621923994598035,0.17961726423627697,0.17872047444166647,0.5381336101730589,0.5366066121756273,0.0018792576932111782,0.006778313253449242,0.0008967897946104975,0.0015269979974316117,real_D_vs_fake_D_negative_control
tfidf,1,44,fake,0.8630490956072352,0.8273431994362226,0.6901829093928847,0.7241707994712059,0.15845695476598254,0.1721740492900172,0.48263846813135736,0.5960128888314189,-0.03570589617101261,0.03398789007832115,-0.013717094524034662,-0.11337442070006154,real_D_vs_fake_D_negative_control
tfidf,1,45,fake,0.8444914258867747,0.8665727037820061,0.6514637697556208,0.6838807297683553,0.1784112778263146,0.16973749691749523,0.5369374363556466,0.5177019336191379,0.0220812778952314,0.03241696001273453,0.008673780908819373,0.01923550273650876,real_D_vs_fake_D_negative_control
