record_type,representation,repeat,outer_fold,draw,partition,feature,assignment_type,mean_signed_standardized_paired_difference,mean_abs_standardized_paired_difference,median_abs_standardized_paired_difference,q95_abs_standardized_paired_difference,before_standardized_mean_difference,after_standardized_mean_difference,max_abs_smd,mean_distance,median_distance,q95_distance,max_distance,total_cost,random_distance_q05,optimal_distance_random_percentile,n_features_mean_abs_paired_diff_lt_0_50,matching_adequate,self_match_count,max_donor_reuse_count,one_to_one
quality,tfidf,1,5,97,outer_test,d_p_domain_breadth,random_mismatch,4.7580986769649563e-17,0.9869727263794702,0.901149011042125,2.1927959268691697,0.0,4.7580986769649563e-17,4.7580986769649563e-17,3.236189979357254,3.03328396977282,5.517933046727994,7.516844681832186,350.2738980247906,2.9105872687482166,0.5742574257425742,0,False,0,1,True
quality,tfidf,1,5,97,outer_test,d_p_total_evidence_count,random_mismatch,-7.93016446160826e-18,0.8298374452386478,0.5585444342952437,2.223006848495069,0.0,-7.93016446160826e-18,4.7580986769649563e-17,3.236189979357254,3.03328396977282,5.517933046727994,7.516844681832186,350.2738980247906,2.9105872687482166,0.5742574257425742,0,False,0,1,True
quality,tfidf,1,5,98,outer_test,interviewer_word_count,random_mismatch,7.93016446160826e-18,0.9182944001350586,0.8166082675114075,1.8157525007018351,0.0,7.93016446160826e-18,6.344131569286608e-17,3.2601958049212625,2.969736601519424,5.5846390215405926,6.787845716812799,348.4747218900723,2.9105872687482166,0.6138613861386139,0,False,0,1,True
quality,tfidf,1,5,98,outer_test,interviewer_turn_count,random_mismatch,-1.1895246692412391e-17,1.179153550635299,0.9545528743238135,2.2628518138382168,0.0,-1.1895246692412391e-17,6.344131569286608e-17,3.2601958049212625,2.969736601519424,5.5846390215405926,6.787845716812799,348.4747218900723,2.9105872687482166,0.6138613861386139,0,False,0,1,True
quality,tfidf,1,5,98,outer_test,clinical_question_count,random_mismatch,6.344131569286608e-17,1.147947451415009,0.5022270099940664,2.837582606466475,0.0,6.344131569286608e-17,6.344131569286608e-17,3.2601958049212625,2.969736601519424,5.5846390215405926,6.787845716812799,348.4747218900723,2.9105872687482166,0.6138613861386139,0,False,0,1,True
quality,tfidf,1,5,98,outer_test,clinical_prompt_coverage_count,random_mismatch,0.0,1.1475391062997684,0.5355182496065585,2.677591248032792,0.0,0.0,6.344131569286608e-17,3.2601958049212625,2.969736601519424,5.5846390215405926,6.787845716812799,348.4747218900723,2.9105872687482166,0.6138613861386139,0,False,0,1,True
quality,tfidf,1,5,98,outer_test,non_explicit_interviewer_turn_count,random_mismatch,2.3790493384824782e-17,1.173673165445318,0.9491075417319539,2.15328773530437,0.0,2.3790493384824782e-17,6.344131569286608e-17,3.2601958049212625,2.969736601519424,5.5846390215405926,6.787845716812799,348.4747218900723,2.9105872687482166,0.6138613861386139,0,False,0,1,True
quality,tfidf,1,5,98,outer_test,d_p_domain_breadth,random_mismatch,7.93016446160826e-18,0.9440608687107976,0.6007660073614166,2.4030640294456664,0.0,7.93016446160826e-18,6.344131569286608e-17,3.2601958049212625,2.969736601519424,5.5846390215405926,6.787845716812799,348.4747218900723,2.9105872687482166,0.6138613861386139,0,False,0,1,True
quality,tfidf,1,5,98,outer_test,d_p_total_evidence_count,random_mismatch,-1.586032892321652e-17,0.989421569323003,0.7819622080133413,2.6028170638158357,0.0,-1.586032892321652e-17,6.344131569286608e-17,3.2601958049212625,2.969736601519424,5.5846390215405926,6.787845716812799,348.4747218900723,2.9105872687482166,0.6138613861386139,0,False,0,1,True
quality,tfidf,1,5,99,outer_test,interviewer_word_count,random_mismatch,-1.9825411154020653e-17,0.8371950305579136,0.6943353718412502,1.8799457709286673,0.0,-1.9825411154020653e-17,3.172065784643304e-17,3.3538704237272197,3.233439241098199,6.029161644577681,6.0902505637370545,370.17429771175574,2.9105872687482166,0.7920792079207921,0,False,0,1,True
