representation,repeat,draw,domain_type,r2,mae,rmse,spearman_rho,mse_improvement,target_mse,null_mse,interpretation_scope
tfidf,1,82,fake,0.7552703652566142,0.19030943509369624,0.23419767401345143,0.8945369883338119,0.7552703652566142,0.05484855051331087,0.22411895711290938,targeted_post_result_sensitivity_real_D_vs_label_stratified_fake_D
tfidf,1,83,fake,0.7579441875523171,0.1908333776058668,0.23291478323389586,0.892847937199151,0.7579441875523171,0.054249296248892694,0.22411895711290938,targeted_post_result_sensitivity_real_D_vs_label_stratified_fake_D
tfidf,1,84,fake,0.7575615946469256,0.1924054217962941,0.2330987828622188,0.8918336682795778,0.7575615946469256,0.054335042571847826,0.22411895711290938,targeted_post_result_sensitivity_real_D_vs_label_stratified_fake_D
tfidf,1,85,fake,0.7576330357395662,0.19129827457633083,0.23306443587272213,0.8929485258523318,0.7576330357395662,0.05431903126867021,0.22411895711290938,targeted_post_result_sensitivity_real_D_vs_label_stratified_fake_D
tfidf,1,86,fake,0.7566747751277827,0.1902933762825542,0.23352472168407673,0.8879987258770599,0.7566747751277827,0.0545337956376255,0.22411895711290938,targeted_post_result_sensitivity_real_D_vs_label_stratified_fake_D
tfidf,1,87,fake,0.7625546921785844,0.1852391847984055,0.2306859223279336,0.9003585566366508,0.7625546921785844,0.053215994760289424,0.22411895711290938,targeted_post_result_sensitivity_real_D_vs_label_stratified_fake_D
tfidf,1,88,fake,0.7613376166936713,0.18890426708779484,0.23127638108699258,0.8907900610028271,0.7613376166936713,0.05348876444869582,0.22411895711290938,targeted_post_result_sensitivity_real_D_vs_label_stratified_fake_D
tfidf,1,89,fake,0.7623272828561387,0.187453201813858,0.23079636370721635,0.8935772049347117,0.7623272828561387,0.053266961500473685,0.22411895711290938,targeted_post_result_sensitivity_real_D_vs_label_stratified_fake_D
tfidf,1,90,fake,0.7670175344857003,0.1841730619448351,0.2285077399053678,0.893719705526718,0.7670175344857003,0.05221578719665922,0.22411895711290938,targeted_post_result_sensitivity_real_D_vs_label_stratified_fake_D
tfidf,1,91,fake,0.75698049861863,0.19123330849947515,0.2333779706992326,0.8875251209683336,0.75698049861863,0.05446527720769187,0.22411895711290938,targeted_post_result_sensitivity_real_D_vs_label_stratified_fake_D
tfidf,1,92,fake,0.7603329881824401,0.19191874125891337,0.23176263879866152,0.8946501505686402,0.7603329881824401,0.05371392074291885,0.22411895711290938,targeted_post_result_sensitivity_real_D_vs_label_stratified_fake_D
tfidf,1,93,fake,0.7624207427435569,0.18929868156642277,0.23075098129363103,0.8982420037259715,0.7624207427435569,0.05324601536797365,0.22411895711290938,targeted_post_result_sensitivity_real_D_vs_label_stratified_fake_D
tfidf,1,94,fake,0.7531359662331767,0.19106022765992622,0.23521672941461136,0.8900733668489139,0.7531359662331767,0.0553269097965065,0.22411895711290938,targeted_post_result_sensitivity_real_D_vs_label_stratified_fake_D
tfidf,1,95,fake,0.7493457894735447,0.19178334592917742,0.23701552746423346,0.8856307013334284,0.7493457894735447,0.0561763602591488,0.22411895711290938,targeted_post_result_sensitivity_real_D_vs_label_stratified_fake_D
tfidf,1,96,fake,0.7656706329221257,0.1854520279433611,0.22916730432245633,0.8965822909484882,0.7656706329221257,0.052517653370421316,0.22411895711290938,targeted_post_result_sensitivity_real_D_vs_label_stratified_fake_D
tfidf,1,97,fake,0.7639688712952342,0.18557168983577912,0.22999793566789897,0.8941052953639109,0.7639688712952342,0.052899050411495,0.22411895711290938,targeted_post_result_sensitivity_real_D_vs_label_stratified_fake_D
tfidf,1,98,fake,0.7626097304043115,0.18525629119412695,0.2306591850556533,0.8942268399865044,0.7626097304043115,0.05320365965053812,0.22411895711290938,targeted_post_result_sensitivity_real_D_vs_label_stratified_fake_D
tfidf,1,99,fake,0.7646260983817078,0.18671264018599681,0.2296774985981173,0.8981581798483207,0.7646260983817078,0.052751753362288184,0.22411895711290938,targeted_post_result_sensitivity_real_D_vs_label_stratified_fake_D
tfidf,1,100,fake,0.7585727973125587,0.19005421672083872,0.23261215119807552,0.8914522696362672,0.7585727973125587,0.05410841288499635,0.22411895711290938,targeted_post_result_sensitivity_real_D_vs_label_stratified_fake_D
tfidf,1,0,real,0.7797730679471362,0.17865883416991837,0.2221644218588192,0.9082882954624041,0.7797730679471362,0.049357030339863384,0.22411895711290938,targeted_post_result_sensitivity_real_D_vs_label_stratified_fake_D
